"","species","meters","location","species.fb"
"8529","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8530","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8531","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8532","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8533","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8534","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8535","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8536","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8537","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8538","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8539","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8540","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8541","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8542","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8543","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8544","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8545","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8546","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8547","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8548","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8549","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8550","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8551","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8552","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8553","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8554","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8555","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8556","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8557","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8558","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8559","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8560","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8561","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8562","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8563","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8564","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8565","Coryphopterus personatus",46,"Roatan","Coryphopterus personatus"
"8566","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8567","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8568","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8569","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8570","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8571","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8572","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8573","Gnatholepis thompsoni",46,"Roatan","Gnatholepis thompsoni"
"8574","Gramma melacara",46,"Roatan","Gramma melacara"
"8575","Gramma melacara",46,"Roatan","Gramma melacara"
"8576","Gramma melacara",46,"Roatan","Gramma melacara"
"8577","Gramma melacara",46,"Roatan","Gramma melacara"
"8578","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8579","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8580","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8581","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8582","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8583","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8584","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8585","Halichoeres garnoti",46,"Roatan","Halichoeres garnoti"
"8586","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8587","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8588","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8589","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8590","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8591","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8592","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8593","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8594","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8595","Scarus taeniopterus",46,"Roatan","Scarus taeniopterus"
"8596","Chromis insolata",46,"Roatan","Chromis insolata"
"8597","Chromis insolata",46,"Roatan","Chromis insolata"
"8598","Chromis insolata",46,"Roatan","Chromis insolata"
"8599","Chromis insolata",46,"Roatan","Chromis insolata"
"8600","Chromis insolata",46,"Roatan","Chromis insolata"
"8601","Chromis insolata",46,"Roatan","Chromis insolata"
"8602","Chromis insolata",46,"Roatan","Chromis insolata"
"8603","Chromis insolata",46,"Roatan","Chromis insolata"
"8604","Chromis insolata",46,"Roatan","Chromis insolata"
"8605","Chromis insolata",46,"Roatan","Chromis insolata"
"8606","Chromis insolata",46,"Roatan","Chromis insolata"
"8607","Chromis insolata",46,"Roatan","Chromis insolata"
"8608","Chromis insolata",46,"Roatan","Chromis insolata"
"8609","Chromis insolata",46,"Roatan","Chromis insolata"
"8610","Chromis insolata",46,"Roatan","Chromis insolata"
"8611","Chromis insolata",46,"Roatan","Chromis insolata"
"8612","Chromis insolata",46,"Roatan","Chromis insolata"
"8613","Serranus tortugarum",46,"Roatan","Serranus tortugarum"
"8614","Serranus tortugarum",46,"Roatan","Serranus tortugarum"
"8615","Serranus tortugarum",46,"Roatan","Serranus tortugarum"
"8616","Serranus tortugarum",46,"Roatan","Serranus tortugarum"
"8617","Serranus tortugarum",46,"Roatan","Serranus tortugarum"
"8618","Canthigaster jamestyleri",46,"Roatan","Canthigaster jamestyleri"
"8619","Canthigaster rostrata",46,"Roatan","Canthigaster rostrata"
"8620","Scarus taeniopterus",49,"Roatan","Scarus taeniopterus"
"8621","Scarus taeniopterus",49,"Roatan","Scarus taeniopterus"
"8622","Scarus taeniopterus",49,"Roatan","Scarus taeniopterus"
"8623","Scarus taeniopterus",49,"Roatan","Scarus taeniopterus"
"8624","Sparisoma aurofrenatum",49,"Roatan","Sparisoma aurofrenatum"
"8625","Chromis cyanea",49,"Roatan","Chromis cyanea"
"8626","Chromis cyanea",49,"Roatan","Chromis cyanea"
"8627","Chromis insolata",49,"Roatan","Chromis insolata"
"8628","Chromis insolata",49,"Roatan","Chromis insolata"
"8629","Chromis insolata",49,"Roatan","Chromis insolata"
"8630","Chromis insolata",49,"Roatan","Chromis insolata"
"8631","Chromis insolata",49,"Roatan","Chromis insolata"
"8632","Chromis insolata",49,"Roatan","Chromis insolata"
"8633","Chromis insolata",49,"Roatan","Chromis insolata"
"8634","Chromis insolata",49,"Roatan","Chromis insolata"
"8635","Chromis insolata",49,"Roatan","Chromis insolata"
"8636","Chromis insolata",49,"Roatan","Chromis insolata"
"8637","Chromis insolata",49,"Roatan","Chromis insolata"
"8638","Chromis insolata",49,"Roatan","Chromis insolata"
"8639","Chromis insolata",49,"Roatan","Chromis insolata"
"8640","Chromis insolata",49,"Roatan","Chromis insolata"
"8641","Chromis insolata",49,"Roatan","Chromis insolata"
"8642","Chromis insolata",49,"Roatan","Chromis insolata"
"8643","Chromis insolata",49,"Roatan","Chromis insolata"
"8644","Chromis insolata",49,"Roatan","Chromis insolata"
"8645","Chromis insolata",49,"Roatan","Chromis insolata"
"8646","Chromis insolata",49,"Roatan","Chromis insolata"
"8647","Chromis insolata",49,"Roatan","Chromis insolata"
"8648","Chromis insolata",49,"Roatan","Chromis insolata"
"8649","Chromis insolata",49,"Roatan","Chromis insolata"
"8650","Chromis insolata",49,"Roatan","Chromis insolata"
"8651","Chromis insolata",49,"Roatan","Chromis insolata"
"8652","Chromis insolata",49,"Roatan","Chromis insolata"
"8653","Chromis insolata",49,"Roatan","Chromis insolata"
"8654","Chromis insolata",49,"Roatan","Chromis insolata"
"8655","Chromis insolata",49,"Roatan","Chromis insolata"
"8656","Chromis insolata",49,"Roatan","Chromis insolata"
"8657","Cephalopholis cruentata",52,"Roatan","Cephalopholis cruentata"
"8658","Halichoeres garnoti",52,"Roatan","Halichoeres garnoti"
"8659","Scarus taeniopterus",52,"Roatan","Scarus taeniopterus"
"8660","Sparisoma aurofrenatum",52,"Roatan","Sparisoma aurofrenatum"
"8661","Chromis cyanea",52,"Roatan","Chromis cyanea"
"8662","Chromis cyanea",52,"Roatan","Chromis cyanea"
"8663","Chromis insolata",52,"Roatan","Chromis insolata"
"8664","Chromis insolata",52,"Roatan","Chromis insolata"
"8665","Chromis insolata",52,"Roatan","Chromis insolata"
"8666","Chromis insolata",52,"Roatan","Chromis insolata"
"8667","Chromis insolata",52,"Roatan","Chromis insolata"
"8668","Chromis scotti",52,"Roatan","Chromis scotti"
"8669","Chromis scotti",52,"Roatan","Chromis scotti"
"8670","Chaetodon capistratus",55,"Roatan","Chaetodon capistratus"
"8671","Chaetodon capistratus",55,"Roatan","Chaetodon capistratus"
"8672","Flammeo marianus",55,"Roatan","Neoniphon marianus"
"8673","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8674","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8675","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8676","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8677","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8678","Scarus taeniopterus",55,"Roatan","Scarus taeniopterus"
"8679","Sparisoma aurofrenatum",55,"Roatan","Sparisoma aurofrenatum"
"8680","Sparisoma aurofrenatum",55,"Roatan","Sparisoma aurofrenatum"
"8681","Sparisoma aurofrenatum",55,"Roatan","Sparisoma aurofrenatum"
"8682","Sparisoma aurofrenatum",55,"Roatan","Sparisoma aurofrenatum"
"8683","Holacanthus ciliaris",55,"Roatan","Holacanthus ciliaris"
"8684","Holacanthus tricolor",55,"Roatan","Holacanthus tricolor"
"8685","Holacanthus tricolor",55,"Roatan","Holacanthus tricolor"
"8686","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8687","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8688","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8689","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8690","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8691","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8692","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8693","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8694","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8695","Chromis cyanea",55,"Roatan","Chromis cyanea"
"8696","Chromis insolata",55,"Roatan","Chromis insolata"
"8697","Chromis insolata",55,"Roatan","Chromis insolata"
"8698","Chromis insolata",55,"Roatan","Chromis insolata"
"8699","Chromis insolata",55,"Roatan","Chromis insolata"
"8700","Chromis insolata",55,"Roatan","Chromis insolata"
"8701","Chromis insolata",55,"Roatan","Chromis insolata"
"8702","Chromis insolata",55,"Roatan","Chromis insolata"
"8703","Chromis insolata",55,"Roatan","Chromis insolata"
"8704","Chromis insolata",55,"Roatan","Chromis insolata"
"8705","Chromis insolata",55,"Roatan","Chromis insolata"
"8706","Chromis insolata",55,"Roatan","Chromis insolata"
"8707","Chromis insolata",55,"Roatan","Chromis insolata"
"8708","Chromis insolata",55,"Roatan","Chromis insolata"
"8709","Chromis insolata",55,"Roatan","Chromis insolata"
"8710","Chromis insolata",55,"Roatan","Chromis insolata"
"8711","Chromis insolata",55,"Roatan","Chromis insolata"
"8712","Chromis insolata",55,"Roatan","Chromis insolata"
"8713","Chromis insolata",55,"Roatan","Chromis insolata"
"8714","Chromis insolata",55,"Roatan","Chromis insolata"
"8715","Chromis insolata",55,"Roatan","Chromis insolata"
"8716","Chromis insolata",55,"Roatan","Chromis insolata"
"8717","Chromis insolata",55,"Roatan","Chromis insolata"
"8718","Chromis insolata",55,"Roatan","Chromis insolata"
"8719","Chromis insolata",55,"Roatan","Chromis insolata"
"8720","Chromis insolata",55,"Roatan","Chromis insolata"
"8721","Chromis insolata",55,"Roatan","Chromis insolata"
"8722","Chromis insolata",55,"Roatan","Chromis insolata"
"8723","Chromis insolata",55,"Roatan","Chromis insolata"
"8724","Chromis insolata",55,"Roatan","Chromis insolata"
"8725","Chromis insolata",55,"Roatan","Chromis insolata"
"8726","Chromis insolata",55,"Roatan","Chromis insolata"
"8727","Chromis insolata",55,"Roatan","Chromis insolata"
"8728","Chromis insolata",55,"Roatan","Chromis insolata"
"8729","Chromis insolata",55,"Roatan","Chromis insolata"
"8730","Chromis insolata",55,"Roatan","Chromis insolata"
"8731","Chromis insolata",55,"Roatan","Chromis insolata"
"8732","Chromis insolata",55,"Roatan","Chromis insolata"
"8733","Chromis insolata",55,"Roatan","Chromis insolata"
"8734","Chromis insolata",55,"Roatan","Chromis insolata"
"8735","Chromis insolata",55,"Roatan","Chromis insolata"
"8736","Chromis insolata",55,"Roatan","Chromis insolata"
"8737","Chromis insolata",55,"Roatan","Chromis insolata"
"8738","Chromis insolata",55,"Roatan","Chromis insolata"
"8739","Chromis insolata",55,"Roatan","Chromis insolata"
"8740","Chromis insolata",55,"Roatan","Chromis insolata"
"8741","Chromis insolata",55,"Roatan","Chromis insolata"
"8742","Chromis insolata",55,"Roatan","Chromis insolata"
"8743","Chromis insolata",55,"Roatan","Chromis insolata"
"8744","Chromis insolata",55,"Roatan","Chromis insolata"
"8745","Chromis insolata",55,"Roatan","Chromis insolata"
"8746","Chromis insolata",55,"Roatan","Chromis insolata"
"8747","Chromis insolata",55,"Roatan","Chromis insolata"
"8748","Canthigaster rostrata",55,"Roatan","Canthigaster rostrata"
"8749","Chaetodon capistratus",58,"Roatan","Chaetodon capistratus"
"8750","Chaetodon capistratus",58,"Roatan","Chaetodon capistratus"
"8751","Chaetodon capistratus",58,"Roatan","Chaetodon capistratus"
"8752","Chaetodon capistratus",58,"Roatan","Chaetodon capistratus"
"8753","Chaetodon capistratus",58,"Roatan","Chaetodon capistratus"
"8754","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8755","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8756","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8757","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8758","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8759","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8760","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8761","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8762","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8763","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8764","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8765","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8766","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8767","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8768","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8769","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8770","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8771","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8772","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8773","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8774","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8775","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8776","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8777","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8778","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8779","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8780","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8781","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8782","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8783","Coryphopterus personatus",58,"Roatan","Coryphopterus personatus"
"8784","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8785","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8786","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8787","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8788","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8789","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8790","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8791","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8792","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8793","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8794","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8795","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8796","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8797","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8798","Gnatholepis thompsoni",58,"Roatan","Gnatholepis thompsoni"
"8799","Haemulon flavolineatum",58,"Roatan","Haemulon flavolineatum"
"8800","Haemulon flavolineatum",58,"Roatan","Haemulon flavolineatum"
"8801","Flammeo marianus",58,"Roatan","Neoniphon marianus"
"8802","Holocentrus rufus",58,"Roatan","Holocentrus rufus"
"8803","Halichoeres garnoti",58,"Roatan","Halichoeres garnoti"
"8804","Scarus taeniopterus",58,"Roatan","Scarus taeniopterus"
"8805","Sparisoma aurofrenatum",58,"Roatan","Sparisoma aurofrenatum"
"8806","Sparisoma aurofrenatum",58,"Roatan","Sparisoma aurofrenatum"
"8807","Sparisoma aurofrenatum",58,"Roatan","Sparisoma aurofrenatum"
"8808","Chromis cyanea",58,"Roatan","Chromis cyanea"
"8809","Chromis cyanea",58,"Roatan","Chromis cyanea"
"8810","Chromis insolata",58,"Roatan","Chromis insolata"
"8811","Chromis insolata",58,"Roatan","Chromis insolata"
"8812","Chromis insolata",58,"Roatan","Chromis insolata"
"8813","Chromis insolata",58,"Roatan","Chromis insolata"
"8814","Chromis insolata",58,"Roatan","Chromis insolata"
"8815","Chromis insolata",58,"Roatan","Chromis insolata"
"8816","Chromis insolata",58,"Roatan","Chromis insolata"
"8817","Chromis insolata",58,"Roatan","Chromis insolata"
"8818","Chromis insolata",58,"Roatan","Chromis insolata"
"8819","Chromis insolata",58,"Roatan","Chromis insolata"
"8820","Chromis insolata",58,"Roatan","Chromis insolata"
"8821","Chromis insolata",58,"Roatan","Chromis insolata"
"8822","Chromis insolata",58,"Roatan","Chromis insolata"
"8823","Chromis insolata",58,"Roatan","Chromis insolata"
"8824","Chromis insolata",58,"Roatan","Chromis insolata"
"8825","Chromis insolata",58,"Roatan","Chromis insolata"
"8826","Chromis insolata",58,"Roatan","Chromis insolata"
"8827","Chromis insolata",58,"Roatan","Chromis insolata"
"8828","Chromis insolata",58,"Roatan","Chromis insolata"
"8829","Chromis insolata",58,"Roatan","Chromis insolata"
"8830","Chromis insolata",58,"Roatan","Chromis insolata"
"8831","Chromis insolata",58,"Roatan","Chromis insolata"
"8832","Chromis insolata",58,"Roatan","Chromis insolata"
"8833","Chromis insolata",58,"Roatan","Chromis insolata"
"8834","Chromis insolata",58,"Roatan","Chromis insolata"
"8835","Chromis insolata",58,"Roatan","Chromis insolata"
"8836","Chromis insolata",58,"Roatan","Chromis insolata"
"8837","Chromis insolata",58,"Roatan","Chromis insolata"
"8838","Chromis insolata",58,"Roatan","Chromis insolata"
"8839","Chromis insolata",58,"Roatan","Chromis insolata"
"8840","Chromis insolata",58,"Roatan","Chromis insolata"
"8841","Chromis insolata",58,"Roatan","Chromis insolata"
"8842","Chromis insolata",58,"Roatan","Chromis insolata"
"8843","Chromis insolata",58,"Roatan","Chromis insolata"
"8844","Chromis insolata",58,"Roatan","Chromis insolata"
"8845","Chromis insolata",58,"Roatan","Chromis insolata"
"8846","Chromis insolata",58,"Roatan","Chromis insolata"
"8847","Chromis insolata",58,"Roatan","Chromis insolata"
"8848","Chromis insolata",58,"Roatan","Chromis insolata"
"8849","Canthigaster rostrata",58,"Roatan","Canthigaster rostrata"
"8850","Canthigaster rostrata",58,"Roatan","Canthigaster rostrata"
"8851","Prognathodes aculeatus",61,"Roatan","Prognathodes aculeatus"
"8852","Prognathodes aculeatus",61,"Roatan","Prognathodes aculeatus"
"8853","Prognathodes aculeatus",61,"Roatan","Prognathodes aculeatus"
"8854","Prognathodes aculeatus",61,"Roatan","Prognathodes aculeatus"
"8855","Cephalopholis cruentata",61,"Roatan","Cephalopholis cruentata"
"8856","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8857","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8858","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8859","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8860","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8861","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8862","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8863","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8864","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8865","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8866","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8867","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8868","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8869","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8870","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8871","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8872","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8873","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8874","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8875","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8876","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8877","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8878","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8879","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8880","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8881","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8882","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8883","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8884","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8885","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8886","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8887","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8888","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8889","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8890","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8891","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8892","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8893","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8894","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8895","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8896","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8897","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8898","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8899","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8900","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8901","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8902","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8903","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8904","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8905","Coryphopterus personatus",61,"Roatan","Coryphopterus personatus"
"8906","Gnatholepis thompsoni",61,"Roatan","Gnatholepis thompsoni"
"8907","Gnatholepis thompsoni",61,"Roatan","Gnatholepis thompsoni"
"8908","Gnatholepis thompsoni",61,"Roatan","Gnatholepis thompsoni"
"8909","Gramma melacara",61,"Roatan","Gramma melacara"
"8910","Gramma melacara",61,"Roatan","Gramma melacara"
"8911","Gramma melacara",61,"Roatan","Gramma melacara"
"8912","Gramma melacara",61,"Roatan","Gramma melacara"
"8913","Gramma melacara",61,"Roatan","Gramma melacara"
"8914","Gramma melacara",61,"Roatan","Gramma melacara"
"8915","Gramma melacara",61,"Roatan","Gramma melacara"
"8916","Gramma melacara",61,"Roatan","Gramma melacara"
"8917","Gramma melacara",61,"Roatan","Gramma melacara"
"8918","Gramma melacara",61,"Roatan","Gramma melacara"
"8919","Haemulon flavolineatum",61,"Roatan","Haemulon flavolineatum"
"8920","Flammeo marianus",61,"Roatan","Neoniphon marianus"
"8921","Flammeo marianus",61,"Roatan","Neoniphon marianus"
"8922","Flammeo marianus",61,"Roatan","Neoniphon marianus"
"8923","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8924","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8925","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8926","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8927","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8928","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8929","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8930","Halichoeres garnoti",61,"Roatan","Halichoeres garnoti"
"8931","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8932","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8933","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8934","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8935","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8936","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8937","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8938","Scarus taeniopterus",61,"Roatan","Scarus taeniopterus"
"8939","Holocentrus rufus",61,"Roatan","Holocentrus rufus"
"8940","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8941","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8942","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8943","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8944","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8945","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8946","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8947","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8948","Chromis cyanea",61,"Roatan","Chromis cyanea"
"8949","Chromis insolata",61,"Roatan","Chromis insolata"
"8950","Chromis insolata",61,"Roatan","Chromis insolata"
"8951","Chromis insolata",61,"Roatan","Chromis insolata"
"8952","Chromis insolata",61,"Roatan","Chromis insolata"
"8953","Chromis insolata",61,"Roatan","Chromis insolata"
"8954","Chromis insolata",61,"Roatan","Chromis insolata"
