"","species","dband","location","abundance","X","m","COEF","abu.corr"
"339","Chaetodon capistratus",30,"Roatan",27,56,"m",1.034883721,27.941860467
"340","Chaetodon capistratus",40,"Curacao",4,48,"m",1.139215137,4.556860548
"341","Chaetodon capistratus",40,"Roatan",16,57,"m",1.1125,17.8
"342","Chaetodon capistratus",50,"Curacao",5,49,"m",0.999995899,4.999979495
"343","Chaetodon capistratus",50,"Roatan",11,58,"m",1.390625,15.296875
"344","Chaetodon capistratus",50,"St. Eustatius",2,103,"m",15.20421053,30.40842106
"345","Chaetodon capistratus",60,"Roatan",5,59,"m",1.893617021,9.468085105
"346","Chaetodon capistratus",70,"Curacao",4,51,"m",2.085070543,8.340282172
"347","Chaetodon capistratus",70,"Roatan",11,60,"m",2.656716418,29.223880598
"348","Chaetodon capistratus",80,"Curacao",3,52,"m",1.181725224,3.545175672
"349","Chaetodon capistratus",80,"Roatan",7,61,"m",2.472222222,17.305555554
"350","Chaetodon capistratus",90,"Roatan",6,62,"m",2.966666667,17.800000002
"351","Chaetodon capistratus",100,"Curacao",1,27,"m",1.379236425,1.379236425
"352","Chaetodon capistratus",100,"Roatan",1,63,"m",1.483333333,1.483333333
"353","Chaetodon capistratus",110,"Roatan",2,64,"m",1.934782609,3.869565218
"354","Chaetodon ocellatus",90,"Roatan",1,62,"m",2.966666667,2.966666667
"355","Chaetodon sedentarius",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"356","Chaetodon sedentarius",60,"St. Eustatius",1,102,"m",6.826086957,6.826086957
"357","Chaetodon sedentarius",70,"Roatan",2,60,"m",2.656716418,5.313432836
"358","Chaetodon sedentarius",70,"St. Eustatius",1,101,"m",5.971062422,5.971062422
"359","Chaetodon sedentarius",80,"Roatan",2,61,"m",2.472222222,4.944444444
"360","Chaetodon sedentarius",80,"St. Eustatius",4,100,"m",3.768327681,15.073310724
"361","Chaetodon sedentarius",90,"Bonaire",4,26,"m",1.187769118,4.751076472
"362","Chaetodon sedentarius",90,"St. Eustatius",2,99,"m",1,2
"363","Chaetodon sedentarius",100,"Bonaire",1,1,"m",1.379236425,1.379236425
"364","Chaetodon sedentarius",100,"St. Eustatius",1,121,"m",1.546301253,1.546301253
"365","Chaetodon sedentarius",110,"St. Eustatius",4,120,"m",1.300675371,5.202701484
"366","Chaetodon striatus",10,"Roatan",2,54,"m",2.225,4.45
"367","Chaetodon striatus",20,"Roatan",2,55,"m",1.934782609,3.869565218
"368","Chaetodon striatus",50,"Bonaire",2,22,"m",0.999995899,1.999991798
"369","Chaetodon striatus",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"370","Chaetodon striatus",60,"Bonaire",2,23,"m",2.016114097,4.032228194
"371","Chaetodon striatus",60,"Roatan",1,59,"m",1.893617021,1.893617021
"372","Chaetodon striatus",80,"Bonaire",6,25,"m",1.181725224,7.090351344
"373","Chaetodon striatus",80,"Roatan",20,61,"m",2.472222222,49.44444444
"374","Chaetodon striatus",100,"St. Eustatius",1,121,"m",1.546301253,1.546301253
"375","Chaunax pictus",10,"Roatan",3,54,"m",2.225,6.675
"376","Chaunax pictus",240,"Curacao",1,41,"m",2.350351807,2.350351807
"377","Chaunax pictus",240,"Roatan",1,77,"m",1.711538462,1.711538462
"378","Chaunax pictus",260,"Curacao",1,43,"m",2.855374707,2.855374707
"379","Chaunax pictus",270,"Curacao",1,44,"m",3.382094313,3.382094313
"380","Chaunax pictus",280,"Curacao",2,45,"m",3.295256757,6.590513514
"381","Chaunax pictus",290,"Curacao",1,46,"m",4.077742475,4.077742475
"382","Chaunax pictus",330,"Roatan",2,86,"m",8.090909091,16.181818182
"383","Choranthias tenuis",90,"Curacao",1,53,"m",1.187769118,1.187769118
"384","Choranthias tenuis",110,"Bonaire",124,2,"m",1.161185714,143.987028536
"385","Choranthias tenuis",110,"Curacao",7,28,"m",1.161185714,8.128299998
"386","Choranthias tenuis",120,"Bonaire",2,3,"m",1.127104229,2.254208458
"387","Choranthias tenuis",120,"Curacao",5,29,"m",1.127104229,5.635521145
"388","Choranthias tenuis",130,"Bonaire",4,4,"m",1.303308391,5.213233564
"389","Choranthias tenuis",140,"Curacao",2,31,"m",1.365335946,2.730671892
"390","Choranthias tenuis",150,"Bonaire",1,6,"m",1.188927353,1.188927353
"391","Choranthias tenuis",150,"Curacao",1,32,"m",1.188927353,1.188927353
"392","Choranthias tenuis",160,"Curacao",1,33,"m",1.212877394,1.212877394
"393","Choranthias tenuis",170,"Curacao",1,34,"m",1.172632844,1.172632844
"394","Choranthias tenuis",180,"Bonaire",4,9,"m",1.724533239,6.898132956
"395","Choranthias tenuis",180,"Curacao",3,35,"m",1.724533239,5.173599717
"396","Choranthias tenuis",300,"Curacao",1,47,"m",8.196605042,8.196605042
"397","Chrionema squamentum",150,"Curacao",1,32,"m",1.188927353,1.188927353
"398","Chrionema squamentum",160,"Bonaire",4,7,"m",1.212877394,4.851509576
"399","Chrionema squamentum",160,"Curacao",1,33,"m",1.212877394,1.212877394
"400","Chrionema squamentum",170,"Bonaire",1,8,"m",1.172632844,1.172632844
"401","Chrionema squamentum",180,"Bonaire",3,9,"m",1.724533239,5.173599717
"402","Chrionema squamentum",180,"Curacao",2,35,"m",1.724533239,3.449066478
"403","Chrionema squamentum",190,"Curacao",3,36,"m",1.643187332,4.929561996
"404","Chrionema squamentum",190,"St. Eustatius",1,112,"m",3.571711177,3.571711177
"405","Chrionema squamentum",200,"Bonaire",4,11,"m",1.203301258,4.813205032
"406","Chrionema squamentum",200,"Curacao",1,37,"m",1.203301258,1.203301258
"407","Chrionema squamentum",200,"St. Eustatius",1,111,"m",3.862032086,3.862032086
"408","Chrionema squamentum",210,"Bonaire",3,12,"m",1.454078712,4.362236136
"409","Chrionema squamentum",210,"Curacao",7,38,"m",1.454078712,10.178550984
"410","Chrionema squamentum",210,"Roatan",3,74,"m",2.119047619,6.357142857
"411","Chrionema squamentum",210,"St. Eustatius",1,110,"m",2.498961938,2.498961938
"412","Chrionema squamentum",220,"Bonaire",1,13,"m",1.136560242,1.136560242
"413","Chrionema squamentum",220,"Curacao",15,39,"m",1.136560242,17.04840363
"414","Chrionema squamentum",230,"Bonaire",1,14,"m",1.644295347,1.644295347
"415","Chrionema squamentum",230,"Curacao",14,40,"m",1.644295347,23.020134858
"416","Chrionema squamentum",230,"Roatan",1,76,"m",1.589285714,1.589285714
"417","Chrionema squamentum",230,"St. Eustatius",4,108,"m",2.26572549,9.06290196
"418","Chrionema squamentum",240,"Curacao",7,41,"m",2.350351807,16.452462649
"419","Chrionema squamentum",240,"Roatan",2,77,"m",1.711538462,3.423076924
"420","Chrionema squamentum",250,"Curacao",4,42,"m",3.051927409,12.207709636
"421","Chrionema squamentum",250,"Roatan",2,78,"m",1.034883721,2.069767442
"422","Chrionema squamentum",260,"Bonaire",6,16,"m",2.855374707,17.132248242
"423","Chrionema squamentum",260,"Curacao",2,43,"m",2.855374707,5.710749414
"424","Chrionema squamentum",260,"Roatan",3,79,"m",1.126582278,3.379746834
"425","Chrionema squamentum",270,"Bonaire",8,17,"m",3.382094313,27.056754504
"426","Chrionema squamentum",270,"Roatan",7,80,"m",1,7
"427","Chrionema squamentum",280,"Bonaire",4,18,"m",3.295256757,13.181027028
"428","Chrionema squamentum",280,"Curacao",48,45,"m",3.295256757,158.172324336
"429","Chrionema squamentum",290,"Bonaire",1,19,"m",4.077742475,4.077742475
"430","Chrionema squamentum",290,"Curacao",55,46,"m",4.077742475,224.275836125
"431","Chrionema squamentum",300,"Bonaire",3,20,"m",8.196605042,24.589815126
"432","Chrionema squamentum",300,"Curacao",21,47,"m",8.196605042,172.128705882
"433","Chrionema squamentum",330,"Roatan",3,86,"m",8.090909091,24.272727273
"434","Chrionema squamentum",390,"Roatan",1,89,"m",8.090909091,8.090909091
"435","Chromis cyanea",10,"Roatan",517,54,"m",2.225,1150.325
"436","Chromis cyanea",20,"Roatan",86,55,"m",1.934782609,166.391304374
"437","Chromis cyanea",30,"Roatan",59,56,"m",1.034883721,61.058139539
"438","Chromis cyanea",40,"Bonaire",162,21,"m",1.139215137,184.552852194
"439","Chromis cyanea",40,"Curacao",5,48,"m",1.139215137,5.696075685
"440","Chromis cyanea",40,"Roatan",96,57,"m",1.1125,106.8
"441","Chromis cyanea",40,"St. Eustatius",66,104,"m",10.87650602,717.84939732
"442","Chromis cyanea",50,"Bonaire",143,22,"m",0.999995899,142.999413557
"443","Chromis cyanea",50,"Curacao",27,49,"m",0.999995899,26.999889273
"444","Chromis cyanea",50,"Roatan",37,58,"m",1.390625,51.453125
"445","Chromis cyanea",50,"St. Eustatius",217,103,"m",15.20421053,3299.31368501
"446","Chromis cyanea",60,"Bonaire",13,23,"m",2.016114097,26.209483261
"447","Chromis cyanea",60,"Curacao",7,50,"m",2.016114097,14.112798679
"448","Chromis cyanea",60,"Roatan",26,59,"m",1.893617021,49.234042546
"449","Chromis cyanea",70,"Bonaire",4,24,"m",2.085070543,8.340282172
"450","Chromis cyanea",70,"Curacao",3,51,"m",2.085070543,6.255211629
"451","Chromis cyanea",70,"Roatan",3,60,"m",2.656716418,7.970149254
"452","Chromis cyanea",70,"St. Eustatius",6,101,"m",5.971062422,35.826374532
"453","Chromis cyanea",80,"Bonaire",2,25,"m",1.181725224,2.363450448
"454","Chromis enchrysura",40,"Bonaire",2,21,"m",1.139215137,2.278430274
"455","Chromis enchrysura",60,"Roatan",20,59,"m",1.893617021,37.87234042
"456","Chromis enchrysura",70,"Bonaire",5,24,"m",2.085070543,10.425352715
"457","Chromis enchrysura",70,"Curacao",3,51,"m",2.085070543,6.255211629
"458","Chromis enchrysura",80,"Bonaire",19,25,"m",1.181725224,22.452779256
"459","Chromis enchrysura",80,"Curacao",4,52,"m",1.181725224,4.726900896
"460","Chromis enchrysura",90,"Bonaire",39,26,"m",1.187769118,46.322995602
"461","Chromis enchrysura",90,"Curacao",9,53,"m",1.187769118,10.689922062
"462","Chromis enchrysura",100,"Bonaire",4,1,"m",1.379236425,5.5169457
"463","Chromis enchrysura",100,"Curacao",26,27,"m",1.379236425,35.86014705
"464","Chromis enchrysura",110,"Bonaire",68,2,"m",1.161185714,78.960628552
"465","Chromis enchrysura",110,"Curacao",18,28,"m",1.161185714,20.901342852
"466","Chromis enchrysura",110,"St. Eustatius",3,120,"m",1.300675371,3.902026113
"467","Chromis enchrysura",120,"Bonaire",22,3,"m",1.127104229,24.796293038
"468","Chromis enchrysura",120,"Curacao",4,29,"m",1.127104229,4.508416916
"469","Chromis enchrysura",120,"St. Eustatius",1,119,"m",3.838426787,3.838426787
"470","Chromis enchrysura",130,"Bonaire",18,4,"m",1.303308391,23.459551038
"471","Chromis enchrysura",130,"Curacao",3,30,"m",1.303308391,3.909925173
"472","Chromis enchrysura",130,"Roatan",1,66,"m",2.542857143,2.542857143
"473","Chromis enchrysura",130,"St. Eustatius",3,118,"m",3.42437174,10.27311522
"474","Chromis enchrysura",140,"Bonaire",6,5,"m",1.365335946,8.192015676
"475","Chromis enchrysura",140,"Curacao",1,31,"m",1.365335946,1.365335946
"476","Chromis enchrysura",140,"Roatan",4,67,"m",1.893617021,7.574468084
"477","Chromis enchrysura",140,"St. Eustatius",1,117,"m",5.143874644,5.143874644
"478","Chromis enchrysura",150,"Bonaire",1,6,"m",1.188927353,1.188927353
"479","Chromis enchrysura",150,"Roatan",3,68,"m",2.022727273,6.068181819
"480","Chromis enchrysura",150,"St. Eustatius",4,116,"m",3.366899767,13.467599068
"481","Chromis enchrysura",160,"Roatan",1,69,"m",1.618181818,1.618181818
"482","Chromis enchrysura",160,"St. Eustatius",3,115,"m",4.342754059,13.028262177
"483","Chromis enchrysura",170,"St. Eustatius",6,114,"m",3.76734481,22.60406886
"484","Chromis insolata",10,"Roatan",186,54,"m",2.225,413.85
"485","Chromis insolata",20,"Roatan",469,55,"m",1.934782609,907.413043621
"486","Chromis insolata",30,"Roatan",389,56,"m",1.034883721,402.569767469
"487","Chromis insolata",40,"Bonaire",6,21,"m",1.139215137,6.835290822
"488","Chromis insolata",40,"Curacao",4,48,"m",1.139215137,4.556860548
"489","Chromis insolata",40,"Roatan",680,57,"m",1.1125,756.5
"490","Chromis insolata",40,"St. Eustatius",3,104,"m",10.87650602,32.62951806
"491","Chromis insolata",50,"Bonaire",33,22,"m",0.999995899,32.999864667
"492","Chromis insolata",50,"Curacao",37,49,"m",0.999995899,36.999848263
"493","Chromis insolata",50,"Roatan",521,58,"m",1.390625,724.515625
"494","Chromis insolata",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"495","Chromis insolata",60,"Bonaire",1,23,"m",2.016114097,2.016114097
"496","Chromis insolata",60,"Curacao",58,50,"m",2.016114097,116.934617626
"497","Chromis insolata",60,"Roatan",365,59,"m",1.893617021,691.170212665
"498","Chromis insolata",60,"St. Eustatius",21,102,"m",6.826086957,143.347826097
"499","Chromis insolata",70,"Bonaire",6,24,"m",2.085070543,12.510423258
"500","Chromis insolata",70,"Curacao",47,51,"m",2.085070543,97.998315521
"501","Chromis insolata",70,"Roatan",301,60,"m",2.656716418,799.671641818
"502","Chromis insolata",70,"St. Eustatius",121,101,"m",5.971062422,722.498553062
"503","Chromis insolata",80,"Bonaire",3,25,"m",1.181725224,3.545175672
"504","Chromis insolata",80,"Curacao",45,52,"m",1.181725224,53.17763508
"505","Chromis insolata",80,"Roatan",121,61,"m",2.472222222,299.138888862
"506","Chromis insolata",80,"St. Eustatius",167,100,"m",3.768327681,629.310722727
"507","Chromis insolata",90,"Bonaire",1,26,"m",1.187769118,1.187769118
"508","Chromis insolata",90,"Curacao",9,53,"m",1.187769118,10.689922062
"509","Chromis insolata",90,"Roatan",97,62,"m",2.966666667,287.766666699
"510","Chromis insolata",90,"St. Eustatius",52,99,"m",1,52
"511","Chromis insolata",100,"Curacao",12,27,"m",1.379236425,16.5508371
"512","Chromis insolata",100,"Roatan",3,63,"m",1.483333333,4.449999999
"513","Chromis insolata",100,"St. Eustatius",14,121,"m",1.546301253,21.648217542
"514","Chromis insolata",110,"Curacao",1,28,"m",1.161185714,1.161185714
"515","Chromis insolata",110,"St. Eustatius",7,120,"m",1.300675371,9.104727597
"516","Chromis insolata",120,"Roatan",2,65,"m",2.170731707,4.341463414
"517","Chromis insolata",120,"St. Eustatius",1,119,"m",3.838426787,3.838426787
"518","Chromis insolata",130,"Bonaire",1,4,"m",1.303308391,1.303308391
"519","Chromis insolata",130,"St. Eustatius",1,118,"m",3.42437174,3.42437174
"520","Chromis insolata",140,"Roatan",2,67,"m",1.893617021,3.787234042
"521","Chromis insolata",150,"Roatan",1,68,"m",2.022727273,2.022727273
"522","Chromis multilineata",10,"Roatan",128,54,"m",2.225,284.8
"523","Chromis multilineata",40,"Curacao",26,48,"m",1.139215137,29.619593562
"524","Chromis multilineata",40,"St. Eustatius",13,104,"m",10.87650602,141.39457826
"525","Chromis multilineata",50,"Curacao",22,49,"m",0.999995899,21.999909778
"526","Chromis multilineata",60,"Bonaire",4,23,"m",2.016114097,8.064456388
"527","Chromis multilineata",60,"Curacao",1,50,"m",2.016114097,2.016114097
"528","Chromis multilineata",70,"Bonaire",10,24,"m",2.085070543,20.85070543
"529","Chromis scotti",40,"Curacao",1,48,"m",1.139215137,1.139215137
"530","Chromis scotti",50,"Bonaire",1,22,"m",0.999995899,0.999995899
"531","Chromis scotti",50,"Curacao",1,49,"m",0.999995899,0.999995899
"532","Chromis scotti",50,"Roatan",7,58,"m",1.390625,9.734375
"533","Chromis scotti",60,"Curacao",4,50,"m",2.016114097,8.064456388
"534","Chromis scotti",60,"Roatan",7,59,"m",1.893617021,13.255319147
"535","Chromis scotti",60,"St. Eustatius",1,102,"m",6.826086957,6.826086957
"536","Chromis scotti",70,"Curacao",38,51,"m",2.085070543,79.232680634
"537","Chromis scotti",70,"Roatan",28,60,"m",2.656716418,74.388059704
"538","Chromis scotti",70,"St. Eustatius",2,101,"m",5.971062422,11.942124844
"539","Chromis scotti",80,"Curacao",24,52,"m",1.181725224,28.361405376
"540","Chromis scotti",80,"Roatan",6,61,"m",2.472222222,14.833333332
"541","Chromis scotti",80,"St. Eustatius",14,100,"m",3.768327681,52.756587534
"542","Chromis scotti",90,"Curacao",6,53,"m",1.187769118,7.126614708
"543","Chromis scotti",90,"Roatan",21,62,"m",2.966666667,62.300000007
"544","Chromis scotti",100,"Curacao",10,27,"m",1.379236425,13.79236425
"545","Chromis scotti",100,"Roatan",2,63,"m",1.483333333,2.966666666
"546","Chromis scotti",100,"St. Eustatius",11,121,"m",1.546301253,17.009313783
"547","Chromis scotti",110,"Curacao",1,28,"m",1.161185714,1.161185714
"548","Chromis scotti",110,"Roatan",2,64,"m",1.934782609,3.869565218
"549","Chromis scotti",110,"St. Eustatius",12,120,"m",1.300675371,15.608104452
"550","Chromis scotti",120,"Roatan",1,65,"m",2.170731707,2.170731707
"551","Chromis scotti",120,"St. Eustatius",5,119,"m",3.838426787,19.192133935
"552","Chromis scotti",130,"Roatan",1,66,"m",2.542857143,2.542857143
"553","Chromis scotti",130,"St. Eustatius",6,118,"m",3.42437174,20.54623044
"554","Chromis scotti",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"555","Clepticus parrae",10,"Roatan",1385,54,"m",2.225,3081.625
"556","Clepticus parrae",20,"Roatan",514,55,"m",1.934782609,994.478261026
"557","Clepticus parrae",30,"Roatan",269,56,"m",1.034883721,278.383720949
"558","Clepticus parrae",40,"Curacao",77,48,"m",1.139215137,87.719565549
"559","Clepticus parrae",40,"Roatan",24,57,"m",1.1125,26.7
"560","Clepticus parrae",40,"St. Eustatius",94,104,"m",10.87650602,1022.39156588
"561","Clepticus parrae",50,"Bonaire",11,22,"m",0.999995899,10.999954889
"562","Clepticus parrae",50,"Curacao",2,49,"m",0.999995899,1.999991798
"563","Clepticus parrae",50,"Roatan",13,58,"m",1.390625,18.078125
"564","Clepticus parrae",60,"Bonaire",2,23,"m",2.016114097,4.032228194
"565","Clepticus parrae",60,"Curacao",125,50,"m",2.016114097,252.014262125
"566","Clepticus parrae",60,"Roatan",249,59,"m",1.893617021,471.510638229
"567","Clepticus parrae",70,"Curacao",76,51,"m",2.085070543,158.465361268
"568","Clepticus parrae",70,"Roatan",259,60,"m",2.656716418,688.089552262
"569","Clepticus parrae",80,"Curacao",3,52,"m",1.181725224,3.545175672
"570","Clepticus parrae",80,"Roatan",101,61,"m",2.472222222,249.694444422
"571","Clepticus parrae",90,"Bonaire",1,26,"m",1.187769118,1.187769118
"572","Clepticus parrae",90,"Curacao",4,53,"m",1.187769118,4.751076472
"573","Clepticus parrae",90,"Roatan",55,62,"m",2.966666667,163.166666685
"574","Corniger spinosus",110,"Bonaire",3,2,"m",1.161185714,3.483557142
"575","Corniger spinosus",120,"Bonaire",5,3,"m",1.127104229,5.635521145
"576","Corniger spinosus",120,"Roatan",1,65,"m",2.170731707,2.170731707
"577","Corniger spinosus",130,"Bonaire",3,4,"m",1.303308391,3.909925173
"578","Corniger spinosus",130,"Curacao",1,30,"m",1.303308391,1.303308391
"579","Corniger spinosus",140,"Bonaire",1,5,"m",1.365335946,1.365335946
"580","Corniger spinosus",140,"Curacao",1,31,"m",1.365335946,1.365335946
"581","Corniger spinosus",150,"Bonaire",9,6,"m",1.188927353,10.700346177
"582","Corniger spinosus",150,"Curacao",2,32,"m",1.188927353,2.377854706
"583","Corniger spinosus",160,"Bonaire",1,7,"m",1.212877394,1.212877394
"584","Corniger spinosus",160,"Curacao",2,33,"m",1.212877394,2.425754788
"585","Corniger spinosus",160,"Roatan",2,69,"m",1.618181818,3.236363636
"586","Corniger spinosus",160,"St. Eustatius",1,115,"m",4.342754059,4.342754059
"587","Corniger spinosus",170,"Curacao",1,34,"m",1.172632844,1.172632844
"588","Corniger spinosus",180,"Curacao",1,35,"m",1.724533239,1.724533239
"589","Corniger spinosus",230,"Curacao",1,40,"m",1.644295347,1.644295347
"590","Coryphopterus curasub",70,"Curacao",3,51,"m",2.085070543,6.255211629
"591","Coryphopterus curasub",80,"Bonaire",4,25,"m",1.181725224,4.726900896
"592","Coryphopterus curasub",80,"Curacao",2,52,"m",1.181725224,2.363450448
"593","Coryphopterus personatus",10,"Roatan",40,54,"m",2.225,89
"594","Coryphopterus personatus",20,"Roatan",72,55,"m",1.934782609,139.304347848
"595","Coryphopterus personatus",30,"Roatan",289,56,"m",1.034883721,299.081395369
"596","Coryphopterus personatus",40,"Roatan",720,57,"m",1.1125,801
"597","Coryphopterus personatus",50,"Roatan",150,58,"m",1.390625,208.59375
"598","Coryphopterus personatus",60,"Roatan",287,59,"m",1.893617021,543.468085027
"599","Coryphopterus personatus",70,"Roatan",110,60,"m",2.656716418,292.23880598
"600","Decapterus sp.",80,"Roatan",20,61,"m",2.472222222,49.44444444
"601","Decodon puellaris",120,"St. Eustatius",2,119,"m",3.838426787,7.676853574
"602","Decodon puellaris",160,"Curacao",3,33,"m",1.212877394,3.638632182
"603","Decodon puellaris",170,"St. Eustatius",2,114,"m",3.76734481,7.53468962
"604","Decodon puellaris",180,"Curacao",2,35,"m",1.724533239,3.449066478
"605","Decodon puellaris",180,"St. Eustatius",2,113,"m",4.174566474,8.349132948
"606","Decodon puellaris",200,"Curacao",1,37,"m",1.203301258,1.203301258
"607","Decodon puellaris",200,"St. Eustatius",1,111,"m",3.862032086,3.862032086
"608","Decodon puellaris",220,"St. Eustatius",3,109,"m",5.980952381,17.942857143
"609","Decodon puellaris",230,"Curacao",1,40,"m",1.644295347,1.644295347
"610","Decodon puellaris",230,"St. Eustatius",4,108,"m",2.26572549,9.06290196
"611","Decodon shallow",80,"Bonaire",2,25,"m",1.181725224,2.363450448
"612","Decodon shallow",90,"Bonaire",9,26,"m",1.187769118,10.689922062
"613","Decodon shallow",90,"Curacao",1,53,"m",1.187769118,1.187769118
"614","Decodon shallow",90,"St. Eustatius",1,99,"m",1,1
"615","Decodon shallow",100,"Curacao",1,27,"m",1.379236425,1.379236425
"616","Decodon shallow",100,"St. Eustatius",8,121,"m",1.546301253,12.370410024
"617","Decodon shallow",110,"Bonaire",2,2,"m",1.161185714,2.322371428
"618","Decodon shallow",110,"St. Eustatius",6,120,"m",1.300675371,7.804052226
"619","Decodon shallow",120,"Bonaire",5,3,"m",1.127104229,5.635521145
"620","Decodon shallow",120,"Curacao",2,29,"m",1.127104229,2.254208458
"621","Decodon shallow",120,"St. Eustatius",1,119,"m",3.838426787,3.838426787
"622","Decodon shallow",130,"Bonaire",2,4,"m",1.303308391,2.606616782
"623","Decodon shallow",130,"Curacao",2,30,"m",1.303308391,2.606616782
"624","Decodon shallow",130,"St. Eustatius",5,118,"m",3.42437174,17.1218587
"625","Decodon shallow",140,"Bonaire",8,5,"m",1.365335946,10.922687568
"626","Decodon shallow",140,"St. Eustatius",2,117,"m",5.143874644,10.287749288
"627","Decodon shallow",150,"Bonaire",2,6,"m",1.188927353,2.377854706
"628","Decodon shallow",150,"Curacao",1,32,"m",1.188927353,1.188927353
"629","Decodon shallow",150,"St. Eustatius",4,116,"m",3.366899767,13.467599068
"630","Decodon shallow",160,"Bonaire",1,7,"m",1.212877394,1.212877394
"631","Decodon shallow",180,"Curacao",1,35,"m",1.724533239,1.724533239
"632","Derilissus lombardii",100,"St. Eustatius",3,121,"m",1.546301253,4.638903759
"633","Derilissus lombardii",110,"St. Eustatius",4,120,"m",1.300675371,5.202701484
"634","Derilissus lombardii",120,"St. Eustatius",5,119,"m",3.838426787,19.192133935
"635","Derilissus lombardii",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"636","Derilissus lombardii",170,"St. Eustatius",1,114,"m",3.76734481,3.76734481
"637","Elacatinus chancei",80,"Roatan",1,61,"m",2.472222222,2.472222222
"638","Elacatinus chancei",110,"St. Eustatius",1,120,"m",1.300675371,1.300675371
"639","Elacatinus lobeli",10,"Roatan",1,54,"m",2.225,2.225
"640","Epigonidae",260,"Roatan",8,79,"m",1.126582278,9.012658224
"641","Epigonidae",270,"Roatan",4,80,"m",1,4
"642","Epigonidae",280,"Roatan",6,81,"m",2.022727273,12.136363638
"643","Epigonidae",290,"Roatan",18,82,"m",1.308823529,23.558823522
"644","Epigonidae",300,"Roatan",93,83,"m",2.617647059,243.441176487
"645","Epigonidae",330,"Roatan",11,86,"m",8.090909091,89.000000001
"646","Epigonidae",350,"Roatan",1,87,"m",8.090909091,8.090909091
"647","Epigonidae",400,"Roatan",1,90,"m",3.708333333,3.708333333
"648","Epigonidae",430,"Roatan",2,93,"m",2.282051282,4.564102564
"649","Epigonidae",440,"Roatan",1,94,"m",3.296296296,3.296296296
"650","Epigonidae",450,"Roatan",2,95,"m",5.933333333,11.866666666
"651","Epigonidae",470,"Roatan",1,97,"m",5.933333333,5.933333333
"652","Epigonidae",480,"Roatan",6,98,"m",5.933333333,35.599999998
"653","Epinephalus striatus",60,"Roatan",1,59,"m",1.893617021,1.893617021
"654","Epinephelus adscensionis",40,"St. Eustatius",1,104,"m",10.87650602,10.87650602
"655","Epinephelus adscensionis",80,"St. Eustatius",1,100,"m",3.768327681,3.768327681
"656","Epinephelus adscensionis",110,"St. Eustatius",2,120,"m",1.300675371,2.601350742
"657","Epinephelus adscensionis",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"658","Epinephelus guttatus",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"659","Epinephelus guttatus",60,"St. Eustatius",1,102,"m",6.826086957,6.826086957
"660","Epinephelus guttatus",100,"St. Eustatius",2,121,"m",1.546301253,3.092602506
"661","Equetus lanceolatus",90,"Bonaire",2,26,"m",1.187769118,2.375538236
"662","Equetus lanceolatus",110,"Bonaire",5,2,"m",1.161185714,5.80592857
"663","Equetus lanceolatus",120,"Bonaire",4,3,"m",1.127104229,4.508416916
"664","Equetus lanceolatus",130,"Bonaire",3,4,"m",1.303308391,3.909925173
"665","Equetus lanceolatus",140,"Bonaire",1,5,"m",1.365335946,1.365335946
"666","Equetus lanceolatus",150,"Bonaire",1,6,"m",1.188927353,1.188927353
"667","Equetus lanceolatus",150,"St. Eustatius",1,116,"m",3.366899767,3.366899767
"668","Etelis oculatus",240,"Roatan",1,77,"m",1.711538462,1.711538462
"669","Etelis oculatus",250,"Roatan",2,78,"m",1.034883721,2.069767442
"670","Etelis oculatus",290,"Roatan",1,82,"m",1.308823529,1.308823529
"671","Fistularia sp.",120,"St. Eustatius",1,119,"m",3.838426787,3.838426787
"672","Fistularia sp.",170,"Bonaire",1,8,"m",1.172632844,1.172632844
"673","Flammeo marianus",40,"Roatan",10,57,"m",1.1125,11.125
"674","Flammeo marianus",50,"Curacao",5,49,"m",0.999995899,4.999979495
"675","Flammeo marianus",50,"Roatan",7,58,"m",1.390625,9.734375
"676","Flammeo marianus",60,"Bonaire",1,23,"m",2.016114097,2.016114097
"677","Flammeo marianus",60,"Curacao",10,50,"m",2.016114097,20.16114097
"678","Flammeo marianus",60,"Roatan",18,59,"m",1.893617021,34.085106378
"679","Flammeo marianus",70,"Curacao",2,51,"m",2.085070543,4.170141086
"680","Flammeo marianus",70,"Roatan",18,60,"m",2.656716418,47.820895524
"681","Flammeo marianus",80,"Bonaire",1,25,"m",1.181725224,1.181725224
"682","Flammeo marianus",80,"Curacao",17,52,"m",1.181725224,20.089328808
"683","Flammeo marianus",80,"Roatan",18,61,"m",2.472222222,44.499999996
"684","Flammeo marianus",80,"St. Eustatius",1,100,"m",3.768327681,3.768327681
"685","Flammeo marianus",90,"Bonaire",1,26,"m",1.187769118,1.187769118
"686","Flammeo marianus",90,"Curacao",2,53,"m",1.187769118,2.375538236
"687","Flammeo marianus",90,"Roatan",29,62,"m",2.966666667,86.033333343
"688","Flammeo marianus",100,"Curacao",1,27,"m",1.379236425,1.379236425
