,species,dband,location,abundance,m,COEF,abu.corr,species.fb
298,Centropyge argi,80,St. Eustatius,2,m,3.768327681,7.536655362,Centropyge argi
299,Centropyge argi,90,Bonaire,2,m,1.187769118,2.375538236,Centropyge argi
300,Centropyge argi,90,Curacao,1,m,1.187769118,1.187769118,Centropyge argi
301,Centropyge argi,90,St. Eustatius,2,m,1,2,Centropyge argi
302,Cephalopholis cruentata,10,Roatan,2,m,2.225,4.45,Cephalopholis cruentata
303,Cephalopholis cruentata,20,Roatan,4,m,1.934782609,7.739130436,Cephalopholis cruentata
304,Cephalopholis cruentata,30,Roatan,1,m,1.034883721,1.034883721,Cephalopholis cruentata
305,Cephalopholis cruentata,40,Curacao,2,m,1.139215137,2.278430274,Cephalopholis cruentata
306,Cephalopholis cruentata,40,Roatan,2,m,1.1125,2.225,Cephalopholis cruentata
307,Cephalopholis cruentata,40,St. Eustatius,2,m,10.87650602,21.75301204,Cephalopholis cruentata
308,Cephalopholis cruentata,50,Curacao,1,m,0.999995899,0.999995899,Cephalopholis cruentata
309,Cephalopholis cruentata,50,Roatan,2,m,1.390625,2.78125,Cephalopholis cruentata
310,Cephalopholis cruentata,50,St. Eustatius,1,m,15.20421053,15.20421053,Cephalopholis cruentata
311,Cephalopholis cruentata,60,Bonaire,2,m,2.016114097,4.032228194,Cephalopholis cruentata
312,Cephalopholis cruentata,60,Curacao,4,m,2.016114097,8.064456388,Cephalopholis cruentata
313,Cephalopholis cruentata,60,Roatan,6,m,1.893617021,11.36170213,Cephalopholis cruentata
314,Cephalopholis cruentata,70,Curacao,4,m,2.085070543,8.340282172,Cephalopholis cruentata
315,Cephalopholis cruentata,70,Roatan,14,m,2.656716418,37.19402985,Cephalopholis cruentata
316,Cephalopholis cruentata,80,Bonaire,1,m,1.181725224,1.181725224,Cephalopholis cruentata
317,Cephalopholis cruentata,80,Curacao,2,m,1.181725224,2.363450448,Cephalopholis cruentata
318,Cephalopholis cruentata,80,Roatan,3,m,2.472222222,7.416666666,Cephalopholis cruentata
319,Cephalopholis cruentata,80,St. Eustatius,3,m,3.768327681,11.30498304,Cephalopholis cruentata
320,Cephalopholis cruentata,90,Bonaire,18,m,1.187769118,21.37984412,Cephalopholis cruentata
321,Cephalopholis cruentata,90,Curacao,5,m,1.187769118,5.93884559,Cephalopholis cruentata
322,Cephalopholis cruentata,90,Roatan,4,m,2.966666667,11.86666667,Cephalopholis cruentata
323,Cephalopholis cruentata,90,St. Eustatius,2,m,1,2,Cephalopholis cruentata
324,Cephalopholis cruentata,100,Curacao,9,m,1.379236425,12.41312783,Cephalopholis cruentata
325,Cephalopholis cruentata,100,Roatan,2,m,1.483333333,2.966666666,Cephalopholis cruentata
326,Cephalopholis cruentata,100,St. Eustatius,4,m,1.546301253,6.185205012,Cephalopholis cruentata
327,Cephalopholis cruentata,110,Bonaire,7,m,1.161185714,8.128299998,Cephalopholis cruentata
328,Cephalopholis cruentata,110,Curacao,3,m,1.161185714,3.483557142,Cephalopholis cruentata
329,Cephalopholis cruentata,110,Roatan,1,m,1.934782609,1.934782609,Cephalopholis cruentata
330,Cephalopholis cruentata,110,St. Eustatius,3,m,1.300675371,3.902026113,Cephalopholis cruentata
331,Cephalopholis cruentata,120,Curacao,1,m,1.127104229,1.127104229,Cephalopholis cruentata
332,Cephalopholis cruentata,120,St. Eustatius,3,m,3.838426787,11.51528036,Cephalopholis cruentata
333,Cephalopholis cruentata,130,Curacao,1,m,1.303308391,1.303308391,Cephalopholis cruentata
334,Cephalopholis cruentata,140,St. Eustatius,1,m,5.143874644,5.143874644,Cephalopholis cruentata
335,Cephalopholis fulva,30,Roatan,5,m,1.034883721,5.174418605,Cephalopholis fulva
336,Cephalopholis fulva,50,St. Eustatius,3,m,15.20421053,45.61263159,Cephalopholis fulva
337,Chaetodon capistratus,10,Roatan,23,m,2.225,51.175,Chaetodon capistratus
338,Chaetodon capistratus,20,Roatan,41,m,1.934782609,79.32608697,Chaetodon capistratus
339,Chaetodon capistratus,30,Roatan,27,m,1.034883721,27.94186047,Chaetodon capistratus
340,Chaetodon capistratus,40,Curacao,4,m,1.139215137,4.556860548,Chaetodon capistratus
341,Chaetodon capistratus,40,Roatan,16,m,1.1125,17.8,Chaetodon capistratus
342,Chaetodon capistratus,50,Curacao,5,m,0.999995899,4.999979495,Chaetodon capistratus
343,Chaetodon capistratus,50,Roatan,11,m,1.390625,15.296875,Chaetodon capistratus
344,Chaetodon capistratus,50,St. Eustatius,2,m,15.20421053,30.40842106,Chaetodon capistratus
345,Chaetodon capistratus,60,Roatan,5,m,1.893617021,9.468085105,Chaetodon capistratus
346,Chaetodon capistratus,70,Curacao,4,m,2.085070543,8.340282172,Chaetodon capistratus
347,Chaetodon capistratus,70,Roatan,11,m,2.656716418,29.2238806,Chaetodon capistratus
348,Chaetodon capistratus,80,Curacao,3,m,1.181725224,3.545175672,Chaetodon capistratus
349,Chaetodon capistratus,80,Roatan,7,m,2.472222222,17.30555555,Chaetodon capistratus
350,Chaetodon capistratus,90,Roatan,6,m,2.966666667,17.8,Chaetodon capistratus
351,Chaetodon capistratus,100,Curacao,1,m,1.379236425,1.379236425,Chaetodon capistratus
352,Chaetodon capistratus,100,Roatan,1,m,1.483333333,1.483333333,Chaetodon capistratus
353,Chaetodon capistratus,110,Roatan,2,m,1.934782609,3.869565218,Chaetodon capistratus
354,Chaetodon ocellatus,90,Roatan,1,m,2.966666667,2.966666667,Chaetodon ocellatus
355,Chaetodon sedentarius,50,St. Eustatius,1,m,15.20421053,15.20421053,Chaetodon sedentarius
356,Chaetodon sedentarius,60,St. Eustatius,1,m,6.826086957,6.826086957,Chaetodon sedentarius
357,Chaetodon sedentarius,70,Roatan,2,m,2.656716418,5.313432836,Chaetodon sedentarius
358,Chaetodon sedentarius,70,St. Eustatius,1,m,5.971062422,5.971062422,Chaetodon sedentarius
359,Chaetodon sedentarius,80,Roatan,2,m,2.472222222,4.944444444,Chaetodon sedentarius
360,Chaetodon sedentarius,80,St. Eustatius,4,m,3.768327681,15.07331072,Chaetodon sedentarius
361,Chaetodon sedentarius,90,Bonaire,4,m,1.187769118,4.751076472,Chaetodon sedentarius
362,Chaetodon sedentarius,90,St. Eustatius,2,m,1,2,Chaetodon sedentarius
363,Chaetodon sedentarius,100,Bonaire,1,m,1.379236425,1.379236425,Chaetodon sedentarius
364,Chaetodon sedentarius,100,St. Eustatius,1,m,1.546301253,1.546301253,Chaetodon sedentarius
365,Chaetodon sedentarius,110,St. Eustatius,4,m,1.300675371,5.202701484,Chaetodon sedentarius
366,Chaetodon striatus,10,Roatan,2,m,2.225,4.45,Chaetodon striatus
367,Chaetodon striatus,20,Roatan,2,m,1.934782609,3.869565218,Chaetodon striatus
368,Chaetodon striatus,50,Bonaire,2,m,0.999995899,1.999991798,Chaetodon striatus
369,Chaetodon striatus,50,St. Eustatius,1,m,15.20421053,15.20421053,Chaetodon striatus
370,Chaetodon striatus,60,Bonaire,2,m,2.016114097,4.032228194,Chaetodon striatus
371,Chaetodon striatus,60,Roatan,1,m,1.893617021,1.893617021,Chaetodon striatus
372,Chaetodon striatus,80,Bonaire,6,m,1.181725224,7.090351344,Chaetodon striatus
373,Chaetodon striatus,80,Roatan,20,m,2.472222222,49.44444444,Chaetodon striatus
374,Chaetodon striatus,100,St. Eustatius,1,m,1.546301253,1.546301253,Chaetodon striatus
375,Chaunax pictus,10,Roatan,3,m,2.225,6.675,Chaunax pictus
376,Chaunax pictus,240,Curacao,1,m,2.350351807,2.350351807,Chaunax pictus
377,Chaunax pictus,240,Roatan,1,m,1.711538462,1.711538462,Chaunax pictus
378,Chaunax pictus,260,Curacao,1,m,2.855374707,2.855374707,Chaunax pictus
379,Chaunax pictus,270,Curacao,1,m,3.382094313,3.382094313,Chaunax pictus
380,Chaunax pictus,280,Curacao,2,m,3.295256757,6.590513514,Chaunax pictus
381,Chaunax pictus,290,Curacao,1,m,4.077742475,4.077742475,Chaunax pictus
382,Chaunax pictus,330,Roatan,2,m,8.090909091,16.18181818,Chaunax pictus
383,Choranthias tenuis,90,Curacao,1,m,1.187769118,1.187769118,Choranthias tenuis
384,Choranthias tenuis,110,Bonaire,124,m,1.161185714,143.9870285,Choranthias tenuis
385,Choranthias tenuis,110,Curacao,7,m,1.161185714,8.128299998,Choranthias tenuis
386,Choranthias tenuis,120,Bonaire,2,m,1.127104229,2.254208458,Choranthias tenuis
387,Choranthias tenuis,120,Curacao,5,m,1.127104229,5.635521145,Choranthias tenuis
388,Choranthias tenuis,130,Bonaire,4,m,1.303308391,5.213233564,Choranthias tenuis
389,Choranthias tenuis,140,Curacao,2,m,1.365335946,2.730671892,Choranthias tenuis
390,Choranthias tenuis,150,Bonaire,1,m,1.188927353,1.188927353,Choranthias tenuis
391,Choranthias tenuis,150,Curacao,1,m,1.188927353,1.188927353,Choranthias tenuis
392,Choranthias tenuis,160,Curacao,1,m,1.212877394,1.212877394,Choranthias tenuis
393,Choranthias tenuis,170,Curacao,1,m,1.172632844,1.172632844,Choranthias tenuis
394,Choranthias tenuis,180,Bonaire,4,m,1.724533239,6.898132956,Choranthias tenuis
395,Choranthias tenuis,180,Curacao,3,m,1.724533239,5.173599717,Choranthias tenuis
396,Choranthias tenuis,300,Curacao,1,m,8.196605042,8.196605042,Choranthias tenuis
397,Chrionema squamentum,150,Curacao,1,m,1.188927353,1.188927353,Chrionema squamentum
398,Chrionema squamentum,160,Bonaire,4,m,1.212877394,4.851509576,Chrionema squamentum
399,Chrionema squamentum,160,Curacao,1,m,1.212877394,1.212877394,Chrionema squamentum
400,Chrionema squamentum,170,Bonaire,1,m,1.172632844,1.172632844,Chrionema squamentum
401,Chrionema squamentum,180,Bonaire,3,m,1.724533239,5.173599717,Chrionema squamentum
402,Chrionema squamentum,180,Curacao,2,m,1.724533239,3.449066478,Chrionema squamentum
403,Chrionema squamentum,190,Curacao,3,m,1.643187332,4.929561996,Chrionema squamentum
404,Chrionema squamentum,190,St. Eustatius,1,m,3.571711177,3.571711177,Chrionema squamentum
405,Chrionema squamentum,200,Bonaire,4,m,1.203301258,4.813205032,Chrionema squamentum
406,Chrionema squamentum,200,Curacao,1,m,1.203301258,1.203301258,Chrionema squamentum
407,Chrionema squamentum,200,St. Eustatius,1,m,3.862032086,3.862032086,Chrionema squamentum
408,Chrionema squamentum,210,Bonaire,3,m,1.454078712,4.362236136,Chrionema squamentum
409,Chrionema squamentum,210,Curacao,7,m,1.454078712,10.17855098,Chrionema squamentum
410,Chrionema squamentum,210,Roatan,3,m,2.119047619,6.357142857,Chrionema squamentum
411,Chrionema squamentum,210,St. Eustatius,1,m,2.498961938,2.498961938,Chrionema squamentum
412,Chrionema squamentum,220,Bonaire,1,m,1.136560242,1.136560242,Chrionema squamentum
413,Chrionema squamentum,220,Curacao,15,m,1.136560242,17.04840363,Chrionema squamentum
414,Chrionema squamentum,230,Bonaire,1,m,1.644295347,1.644295347,Chrionema squamentum
415,Chrionema squamentum,230,Curacao,14,m,1.644295347,23.02013486,Chrionema squamentum
416,Chrionema squamentum,230,Roatan,1,m,1.589285714,1.589285714,Chrionema squamentum
417,Chrionema squamentum,230,St. Eustatius,4,m,2.26572549,9.06290196,Chrionema squamentum
418,Chrionema squamentum,240,Curacao,7,m,2.350351807,16.45246265,Chrionema squamentum
419,Chrionema squamentum,240,Roatan,2,m,1.711538462,3.423076924,Chrionema squamentum
420,Chrionema squamentum,250,Curacao,4,m,3.051927409,12.20770964,Chrionema squamentum
421,Chrionema squamentum,250,Roatan,2,m,1.034883721,2.069767442,Chrionema squamentum
422,Chrionema squamentum,260,Bonaire,6,m,2.855374707,17.13224824,Chrionema squamentum
423,Chrionema squamentum,260,Curacao,2,m,2.855374707,5.710749414,Chrionema squamentum
424,Chrionema squamentum,260,Roatan,3,m,1.126582278,3.379746834,Chrionema squamentum
425,Chrionema squamentum,270,Bonaire,8,m,3.382094313,27.0567545,Chrionema squamentum
426,Chrionema squamentum,270,Roatan,7,m,1,7,Chrionema squamentum
427,Chrionema squamentum,280,Bonaire,4,m,3.295256757,13.18102703,Chrionema squamentum
428,Chrionema squamentum,280,Curacao,48,m,3.295256757,158.1723243,Chrionema squamentum
429,Chrionema squamentum,290,Bonaire,1,m,4.077742475,4.077742475,Chrionema squamentum
430,Chrionema squamentum,290,Curacao,55,m,4.077742475,224.2758361,Chrionema squamentum
431,Chrionema squamentum,300,Bonaire,3,m,8.196605042,24.58981513,Chrionema squamentum
432,Chrionema squamentum,300,Curacao,21,m,8.196605042,172.1287059,Chrionema squamentum
433,Chrionema squamentum,330,Roatan,3,m,8.090909091,24.27272727,Chrionema squamentum
434,Chrionema squamentum,390,Roatan,1,m,8.090909091,8.090909091,Chrionema squamentum
435,Chromis cyanea,10,Roatan,517,m,2.225,1150.325,Chromis cyanea
436,Chromis cyanea,20,Roatan,86,m,1.934782609,166.3913044,Chromis cyanea
437,Chromis cyanea,30,Roatan,59,m,1.034883721,61.05813954,Chromis cyanea
438,Chromis cyanea,40,Bonaire,162,m,1.139215137,184.5528522,Chromis cyanea
439,Chromis cyanea,40,Curacao,5,m,1.139215137,5.696075685,Chromis cyanea
440,Chromis cyanea,40,Roatan,96,m,1.1125,106.8,Chromis cyanea
441,Chromis cyanea,40,St. Eustatius,66,m,10.87650602,717.8493973,Chromis cyanea
442,Chromis cyanea,50,Bonaire,143,m,0.999995899,142.9994136,Chromis cyanea
443,Chromis cyanea,50,Curacao,27,m,0.999995899,26.99988927,Chromis cyanea
444,Chromis cyanea,50,Roatan,37,m,1.390625,51.453125,Chromis cyanea
445,Chromis cyanea,50,St. Eustatius,217,m,15.20421053,3299.313685,Chromis cyanea
446,Chromis cyanea,60,Bonaire,13,m,2.016114097,26.20948326,Chromis cyanea
447,Chromis cyanea,60,Curacao,7,m,2.016114097,14.11279868,Chromis cyanea
448,Chromis cyanea,60,Roatan,26,m,1.893617021,49.23404255,Chromis cyanea
449,Chromis cyanea,70,Bonaire,4,m,2.085070543,8.340282172,Chromis cyanea
450,Chromis cyanea,70,Curacao,3,m,2.085070543,6.255211629,Chromis cyanea
451,Chromis cyanea,70,Roatan,3,m,2.656716418,7.970149254,Chromis cyanea
452,Chromis cyanea,70,St. Eustatius,6,m,5.971062422,35.82637453,Chromis cyanea
453,Chromis cyanea,80,Bonaire,2,m,1.181725224,2.363450448,Chromis cyanea
454,Chromis enchrysura,40,Bonaire,2,m,1.139215137,2.278430274,Chromis enchrysura
455,Chromis enchrysura,60,Roatan,20,m,1.893617021,37.87234042,Chromis enchrysura
456,Chromis enchrysura,70,Bonaire,5,m,2.085070543,10.42535272,Chromis enchrysura
457,Chromis enchrysura,70,Curacao,3,m,2.085070543,6.255211629,Chromis enchrysura
458,Chromis enchrysura,80,Bonaire,19,m,1.181725224,22.45277926,Chromis enchrysura
459,Chromis enchrysura,80,Curacao,4,m,1.181725224,4.726900896,Chromis enchrysura
460,Chromis enchrysura,90,Bonaire,39,m,1.187769118,46.3229956,Chromis enchrysura
461,Chromis enchrysura,90,Curacao,9,m,1.187769118,10.68992206,Chromis enchrysura
462,Chromis enchrysura,100,Bonaire,4,m,1.379236425,5.5169457,Chromis enchrysura
463,Chromis enchrysura,100,Curacao,26,m,1.379236425,35.86014705,Chromis enchrysura
464,Chromis enchrysura,110,Bonaire,68,m,1.161185714,78.96062855,Chromis enchrysura
465,Chromis enchrysura,110,Curacao,18,m,1.161185714,20.90134285,Chromis enchrysura
466,Chromis enchrysura,110,St. Eustatius,3,m,1.300675371,3.902026113,Chromis enchrysura
467,Chromis enchrysura,120,Bonaire,22,m,1.127104229,24.79629304,Chromis enchrysura
468,Chromis enchrysura,120,Curacao,4,m,1.127104229,4.508416916,Chromis enchrysura
469,Chromis enchrysura,120,St. Eustatius,1,m,3.838426787,3.838426787,Chromis enchrysura
470,Chromis enchrysura,130,Bonaire,18,m,1.303308391,23.45955104,Chromis enchrysura
471,Chromis enchrysura,130,Curacao,3,m,1.303308391,3.909925173,Chromis enchrysura
472,Chromis enchrysura,130,Roatan,1,m,2.542857143,2.542857143,Chromis enchrysura
473,Chromis enchrysura,130,St. Eustatius,3,m,3.42437174,10.27311522,Chromis enchrysura
474,Chromis enchrysura,140,Bonaire,6,m,1.365335946,8.192015676,Chromis enchrysura
475,Chromis enchrysura,140,Curacao,1,m,1.365335946,1.365335946,Chromis enchrysura
476,Chromis enchrysura,140,Roatan,4,m,1.893617021,7.574468084,Chromis enchrysura
477,Chromis enchrysura,140,St. Eustatius,1,m,5.143874644,5.143874644,Chromis enchrysura
478,Chromis enchrysura,150,Bonaire,1,m,1.188927353,1.188927353,Chromis enchrysura
479,Chromis enchrysura,150,Roatan,3,m,2.022727273,6.068181819,Chromis enchrysura
480,Chromis enchrysura,150,St. Eustatius,4,m,3.366899767,13.46759907,Chromis enchrysura
481,Chromis enchrysura,160,Roatan,1,m,1.618181818,1.618181818,Chromis enchrysura
482,Chromis enchrysura,160,St. Eustatius,3,m,4.342754059,13.02826218,Chromis enchrysura
483,Chromis enchrysura,170,St. Eustatius,6,m,3.76734481,22.60406886,Chromis enchrysura
484,Chromis insolata,10,Roatan,186,m,2.225,413.85,Chromis insolata
485,Chromis insolata,20,Roatan,469,m,1.934782609,907.4130436,Chromis insolata
486,Chromis insolata,30,Roatan,389,m,1.034883721,402.5697675,Chromis insolata
487,Chromis insolata,40,Bonaire,6,m,1.139215137,6.835290822,Chromis insolata
488,Chromis insolata,40,Curacao,4,m,1.139215137,4.556860548,Chromis insolata
489,Chromis insolata,40,Roatan,680,m,1.1125,756.5,Chromis insolata
490,Chromis insolata,40,St. Eustatius,3,m,10.87650602,32.62951806,Chromis insolata
491,Chromis insolata,50,Bonaire,33,m,0.999995899,32.99986467,Chromis insolata
492,Chromis insolata,50,Curacao,37,m,0.999995899,36.99984826,Chromis insolata
493,Chromis insolata,50,Roatan,521,m,1.390625,724.515625,Chromis insolata
494,Chromis insolata,50,St. Eustatius,1,m,15.20421053,15.20421053,Chromis insolata
495,Chromis insolata,60,Bonaire,1,m,2.016114097,2.016114097,Chromis insolata
496,Chromis insolata,60,Curacao,58,m,2.016114097,116.9346176,Chromis insolata
497,Chromis insolata,60,Roatan,365,m,1.893617021,691.1702127,Chromis insolata
498,Chromis insolata,60,St. Eustatius,21,m,6.826086957,143.3478261,Chromis insolata
499,Chromis insolata,70,Bonaire,6,m,2.085070543,12.51042326,Chromis insolata
500,Chromis insolata,70,Curacao,47,m,2.085070543,97.99831552,Chromis insolata
501,Chromis insolata,70,Roatan,301,m,2.656716418,799.6716418,Chromis insolata
502,Chromis insolata,70,St. Eustatius,121,m,5.971062422,722.4985531,Chromis insolata
503,Chromis insolata,80,Bonaire,3,m,1.181725224,3.545175672,Chromis insolata
504,Chromis insolata,80,Curacao,45,m,1.181725224,53.17763508,Chromis insolata
505,Chromis insolata,80,Roatan,121,m,2.472222222,299.1388889,Chromis insolata
506,Chromis insolata,80,St. Eustatius,167,m,3.768327681,629.3107227,Chromis insolata
507,Chromis insolata,90,Bonaire,1,m,1.187769118,1.187769118,Chromis insolata
508,Chromis insolata,90,Curacao,9,m,1.187769118,10.68992206,Chromis insolata
509,Chromis insolata,90,Roatan,97,m,2.966666667,287.7666667,Chromis insolata
510,Chromis insolata,90,St. Eustatius,52,m,1,52,Chromis insolata
511,Chromis insolata,100,Curacao,12,m,1.379236425,16.5508371,Chromis insolata
512,Chromis insolata,100,Roatan,3,m,1.483333333,4.449999999,Chromis insolata
513,Chromis insolata,100,St. Eustatius,14,m,1.546301253,21.64821754,Chromis insolata
514,Chromis insolata,110,Curacao,1,m,1.161185714,1.161185714,Chromis insolata
515,Chromis insolata,110,St. Eustatius,7,m,1.300675371,9.104727597,Chromis insolata
516,Chromis insolata,120,Roatan,2,m,2.170731707,4.341463414,Chromis insolata
517,Chromis insolata,120,St. Eustatius,1,m,3.838426787,3.838426787,Chromis insolata
518,Chromis insolata,130,Bonaire,1,m,1.303308391,1.303308391,Chromis insolata
519,Chromis insolata,130,St. Eustatius,1,m,3.42437174,3.42437174,Chromis insolata
520,Chromis insolata,140,Roatan,2,m,1.893617021,3.787234042,Chromis insolata
521,Chromis insolata,150,Roatan,1,m,2.022727273,2.022727273,Chromis insolata
522,Chromis multilineata,10,Roatan,128,m,2.225,284.8,Chromis multilineata
523,Chromis multilineata,40,Curacao,26,m,1.139215137,29.61959356,Chromis multilineata
524,Chromis multilineata,40,St. Eustatius,13,m,10.87650602,141.3945783,Chromis multilineata
525,Chromis multilineata,50,Curacao,22,m,0.999995899,21.99990978,Chromis multilineata
526,Chromis multilineata,60,Bonaire,4,m,2.016114097,8.064456388,Chromis multilineata
527,Chromis multilineata,60,Curacao,1,m,2.016114097,2.016114097,Chromis multilineata
528,Chromis multilineata,70,Bonaire,10,m,2.085070543,20.85070543,Chromis multilineata
529,Chromis scotti,40,Curacao,1,m,1.139215137,1.139215137,Chromis scotti
530,Chromis scotti,50,Bonaire,1,m,0.999995899,0.999995899,Chromis scotti
531,Chromis scotti,50,Curacao,1,m,0.999995899,0.999995899,Chromis scotti
532,Chromis scotti,50,Roatan,7,m,1.390625,9.734375,Chromis scotti
533,Chromis scotti,60,Curacao,4,m,2.016114097,8.064456388,Chromis scotti
534,Chromis scotti,60,Roatan,7,m,1.893617021,13.25531915,Chromis scotti
535,Chromis scotti,60,St. Eustatius,1,m,6.826086957,6.826086957,Chromis scotti
536,Chromis scotti,70,Curacao,38,m,2.085070543,79.23268063,Chromis scotti
537,Chromis scotti,70,Roatan,28,m,2.656716418,74.3880597,Chromis scotti
538,Chromis scotti,70,St. Eustatius,2,m,5.971062422,11.94212484,Chromis scotti
539,Chromis scotti,80,Curacao,24,m,1.181725224,28.36140538,Chromis scotti
540,Chromis scotti,80,Roatan,6,m,2.472222222,14.83333333,Chromis scotti
541,Chromis scotti,80,St. Eustatius,14,m,3.768327681,52.75658753,Chromis scotti
542,Chromis scotti,90,Curacao,6,m,1.187769118,7.126614708,Chromis scotti
543,Chromis scotti,90,Roatan,21,m,2.966666667,62.30000001,Chromis scotti
544,Chromis scotti,100,Curacao,10,m,1.379236425,13.79236425,Chromis scotti
545,Chromis scotti,100,Roatan,2,m,1.483333333,2.966666666,Chromis scotti
546,Chromis scotti,100,St. Eustatius,11,m,1.546301253,17.00931378,Chromis scotti
547,Chromis scotti,110,Curacao,1,m,1.161185714,1.161185714,Chromis scotti
548,Chromis scotti,110,Roatan,2,m,1.934782609,3.869565218,Chromis scotti
549,Chromis scotti,110,St. Eustatius,12,m,1.300675371,15.60810445,Chromis scotti
550,Chromis scotti,120,Roatan,1,m,2.170731707,2.170731707,Chromis scotti
551,Chromis scotti,120,St. Eustatius,5,m,3.838426787,19.19213394,Chromis scotti
552,Chromis scotti,130,Roatan,1,m,2.542857143,2.542857143,Chromis scotti
553,Chromis scotti,130,St. Eustatius,6,m,3.42437174,20.54623044,Chromis scotti
554,Chromis scotti,150,St. Eustatius,1,m,3.366899767,3.366899767,Chromis scotti
555,Clepticus parrae,10,Roatan,1385,m,2.225,3081.625,Clepticus parrae
556,Clepticus parrae,20,Roatan,514,m,1.934782609,994.478261,Clepticus parrae
557,Clepticus parrae,30,Roatan,269,m,1.034883721,278.3837209,Clepticus parrae
558,Clepticus parrae,40,Curacao,77,m,1.139215137,87.71956555,Clepticus parrae
559,Clepticus parrae,40,Roatan,24,m,1.1125,26.7,Clepticus parrae
560,Clepticus parrae,40,St. Eustatius,94,m,10.87650602,1022.391566,Clepticus parrae
561,Clepticus parrae,50,Bonaire,11,m,0.999995899,10.99995489,Clepticus parrae
562,Clepticus parrae,50,Curacao,2,m,0.999995899,1.999991798,Clepticus parrae
563,Clepticus parrae,50,Roatan,13,m,1.390625,18.078125,Clepticus parrae
564,Clepticus parrae,60,Bonaire,2,m,2.016114097,4.032228194,Clepticus parrae
565,Clepticus parrae,60,Curacao,125,m,2.016114097,252.0142621,Clepticus parrae
566,Clepticus parrae,60,Roatan,249,m,1.893617021,471.5106382,Clepticus parrae
567,Clepticus parrae,70,Curacao,76,m,2.085070543,158.4653613,Clepticus parrae
568,Clepticus parrae,70,Roatan,259,m,2.656716418,688.0895523,Clepticus parrae
569,Clepticus parrae,80,Curacao,3,m,1.181725224,3.545175672,Clepticus parrae
570,Clepticus parrae,80,Roatan,101,m,2.472222222,249.6944444,Clepticus parrae
571,Clepticus parrae,90,Bonaire,1,m,1.187769118,1.187769118,Clepticus parrae
572,Clepticus parrae,90,Curacao,4,m,1.187769118,4.751076472,Clepticus parrae
573,Clepticus parrae,90,Roatan,55,m,2.966666667,163.1666667,Clepticus parrae
574,Corniger spinosus,110,Bonaire,3,m,1.161185714,3.483557142,Corniger spinosus
575,Corniger spinosus,120,Bonaire,5,m,1.127104229,5.635521145,Corniger spinosus
576,Corniger spinosus,120,Roatan,1,m,2.170731707,2.170731707,Corniger spinosus
577,Corniger spinosus,130,Bonaire,3,m,1.303308391,3.909925173,Corniger spinosus
578,Corniger spinosus,130,Curacao,1,m,1.303308391,1.303308391,Corniger spinosus
579,Corniger spinosus,140,Bonaire,1,m,1.365335946,1.365335946,Corniger spinosus
580,Corniger spinosus,140,Curacao,1,m,1.365335946,1.365335946,Corniger spinosus
581,Corniger spinosus,150,Bonaire,9,m,1.188927353,10.70034618,Corniger spinosus
582,Corniger spinosus,150,Curacao,2,m,1.188927353,2.377854706,Corniger spinosus
583,Corniger spinosus,160,Bonaire,1,m,1.212877394,1.212877394,Corniger spinosus
584,Corniger spinosus,160,Curacao,2,m,1.212877394,2.425754788,Corniger spinosus
585,Corniger spinosus,160,Roatan,2,m,1.618181818,3.236363636,Corniger spinosus
586,Corniger spinosus,160,St. Eustatius,1,m,4.342754059,4.342754059,Corniger spinosus
587,Corniger spinosus,170,Curacao,1,m,1.172632844,1.172632844,Corniger spinosus
588,Corniger spinosus,180,Curacao,1,m,1.724533239,1.724533239,Corniger spinosus
589,Corniger spinosus,230,Curacao,1,m,1.644295347,1.644295347,Corniger spinosus
590,Coryphopterus curasub,70,Curacao,3,m,2.085070543,6.255211629,Coryphopterus glaucofraenum
591,Coryphopterus curasub,80,Bonaire,4,m,1.181725224,4.726900896,Coryphopterus glaucofraenum
592,Coryphopterus curasub,80,Curacao,2,m,1.181725224,2.363450448,Coryphopterus glaucofraenum
593,Coryphopterus personatus,10,Roatan,40,m,2.225,89,Coryphopterus personatus
594,Coryphopterus personatus,20,Roatan,72,m,1.934782609,139.3043478,Coryphopterus personatus
595,Coryphopterus personatus,30,Roatan,289,m,1.034883721,299.0813954,Coryphopterus personatus
596,Coryphopterus personatus,40,Roatan,720,m,1.1125,801,Coryphopterus personatus
597,Coryphopterus personatus,50,Roatan,150,m,1.390625,208.59375,Coryphopterus personatus
598,Coryphopterus personatus,60,Roatan,287,m,1.893617021,543.468085,Coryphopterus personatus
599,Coryphopterus personatus,70,Roatan,110,m,2.656716418,292.238806,Coryphopterus personatus
600,Decapterus sp.,80,Roatan,20,m,2.472222222,49.44444444,Decapterus macarellus
601,Decodon puellaris,120,St. Eustatius,2,m,3.838426787,7.676853574,Decodon puellaris
602,Decodon puellaris,160,Curacao,3,m,1.212877394,3.638632182,Decodon puellaris
603,Decodon puellaris,170,St. Eustatius,2,m,3.76734481,7.53468962,Decodon puellaris
604,Decodon puellaris,180,Curacao,2,m,1.724533239,3.449066478,Decodon puellaris
605,Decodon puellaris,180,St. Eustatius,2,m,4.174566474,8.349132948,Decodon puellaris
606,Decodon puellaris,200,Curacao,1,m,1.203301258,1.203301258,Decodon puellaris
607,Decodon puellaris,200,St. Eustatius,1,m,3.862032086,3.862032086,Decodon puellaris
608,Decodon puellaris,220,St. Eustatius,3,m,5.980952381,17.94285714,Decodon puellaris
