,species,dband,location,hab,abundance,m,COEF,X,abu.corr,species.fb
919,Gnatholepis thompsoni,60,Roatan,shallow,8,m,1.893617021,60,15.14893617,Gnatholepis thompsoni
666,Chromis scotti,60,Roatan,deep,7,m,1.893617021,60,13.25531915,Chromis scotti
612,Chromis insolata,40,St. Eustatius,deep,3,m,10.87650602,NA,32.62951806,Chromis insolata
613,Chromis insolata,50,Bonaire,deep,33,m,0.999995899,NA,32.99986467,Chromis insolata
614,Chromis insolata,50,Curacao,deep,37,m,0.999995899,NA,36.99984826,Chromis insolata
667,Chromis scotti,60,Roatan,shallow,7,m,1.893617021,60,13.25531915,Chromis scotti
1264,Liopropoma mowbrayi,60,Roatan,deep,7,m,1.893617021,60,13.25531915,Liopropoma mowbrayi
617,Chromis insolata,50,St. Eustatius,deep,1,m,15.20421053,NA,15.20421053,Chromis insolata
618,Chromis insolata,60,Bonaire,deep,1,m,2.016114097,NA,2.016114097,Chromis insolata
619,Chromis insolata,60,Curacao,deep,58,m,2.016114097,NA,116.9346176,Chromis insolata
1265,Liopropoma mowbrayi,60,Roatan,shallow,7,m,1.893617021,60,13.25531915,Liopropoma mowbrayi
396,Cephalopholis cruentata,60,Roatan,deep,6,m,1.893617021,60,11.36170213,Cephalopholis cruentata
622,Chromis insolata,60,St. Eustatius,deep,21,m,6.826086957,NA,143.3478261,Chromis insolata
623,Chromis insolata,70,Bonaire,deep,6,m,2.085070543,NA,12.51042326,Chromis insolata
624,Chromis insolata,70,Curacao,deep,47,m,2.085070543,NA,97.99831552,Chromis insolata
397,Cephalopholis cruentata,60,Roatan,shallow,6,m,1.893617021,60,11.36170213,Cephalopholis cruentata
1792,Prognathodes aculeatus,60,Roatan,deep,6,m,1.893617021,60,11.36170213,Prognathodes aculeatus
627,Chromis insolata,70,St. Eustatius,deep,121,m,5.971062422,NA,722.4985531,Chromis insolata
628,Chromis insolata,80,Bonaire,deep,3,m,1.181725224,NA,3.545175672,Chromis insolata
629,Chromis insolata,80,Curacao,deep,45,m,1.181725224,NA,53.17763508,Chromis insolata
1793,Prognathodes aculeatus,60,Roatan,shallow,6,m,1.893617021,60,11.36170213,Prognathodes aculeatus
2120,Sparisoma aurofrenatum,60,Roatan,deep,6,m,1.893617021,60,11.36170213,Sparisoma aurofrenatum
632,Chromis insolata,80,St. Eustatius,deep,167,m,3.768327681,NA,629.3107227,Chromis insolata
633,Chromis insolata,90,Bonaire,deep,1,m,1.187769118,NA,1.187769118,Chromis insolata
634,Chromis insolata,90,Curacao,deep,9,m,1.187769118,NA,10.68992206,Chromis insolata
2121,Sparisoma aurofrenatum,60,Roatan,shallow,6,m,1.893617021,60,11.36170213,Sparisoma aurofrenatum
436,Chaetodon capistratus,60,Roatan,deep,5,m,1.893617021,60,9.468085105,Chaetodon capistratus
637,Chromis insolata,90,St. Eustatius,deep,52,m,1,NA,52,Chromis insolata
638,Chromis insolata,100,Curacao,deep,12,m,1.379236425,NA,16.5508371,Chromis insolata
437,Chaetodon capistratus,60,Roatan,shallow,5,m,1.893617021,60,9.468085105,Chaetodon capistratus
1883,Pseudupeneus maculatus,60,Roatan,deep,5,m,1.893617021,60,9.468085105,Pseudupeneus maculatus
641,Chromis insolata,100,St. Eustatius,deep,14,m,1.546301253,NA,21.64821754,Chromis insolata
642,Chromis insolata,110,Curacao,deep,1,m,1.161185714,NA,1.161185714,Chromis insolata
643,Chromis insolata,110,St. Eustatius,deep,7,m,1.300675371,NA,9.104727597,Chromis insolata
1884,Pseudupeneus maculatus,60,Roatan,shallow,5,m,1.893617021,60,9.468085105,Pseudupeneus maculatus
1007,Haemulon flavolineatum,60,Roatan,deep,4,m,1.893617021,60,7.574468084,Haemulon flavolineatum
646,Chromis insolata,120,St. Eustatius,deep,1,m,3.838426787,NA,3.838426787,Chromis insolata
647,Chromis insolata,130,Bonaire,deep,1,m,1.303308391,NA,1.303308391,Chromis insolata
648,Chromis insolata,130,St. Eustatius,deep,1,m,3.42437174,NA,3.42437174,Chromis insolata
1008,Haemulon flavolineatum,60,Roatan,shallow,4,m,1.893617021,60,7.574468084,Haemulon flavolineatum
1156,Holocentrus rufus,60,Roatan,deep,3,m,1.893617021,60,5.680851063,Holocentrus rufus
1157,Holocentrus rufus,60,Roatan,shallow,3,m,1.893617021,60,5.680851063,Holocentrus rufus
1380,Lipogramma klayi,60,Roatan,deep,3,m,1.893617021,60,5.680851063,Lipogramma klayi
1381,Lipogramma klayi,60,Roatan,shallow,3,m,1.893617021,60,5.680851063,Lipogramma klayi
654,Chromis multilineata,40,Curacao,deep,26,m,1.139215137,NA,29.61959356,Chromis multilineata
655,Chromis multilineata,40,St. Eustatius,deep,13,m,10.87650602,NA,141.3945783,Chromis multilineata
656,Chromis multilineata,50,Curacao,deep,22,m,0.999995899,NA,21.99990978,Chromis multilineata
657,Chromis multilineata,60,Bonaire,deep,4,m,2.016114097,NA,8.064456388,Chromis multilineata
658,Chromis multilineata,60,Curacao,deep,1,m,2.016114097,NA,2.016114097,Chromis multilineata
659,Chromis multilineata,70,Bonaire,deep,10,m,2.085070543,NA,20.85070543,Chromis multilineata
660,Chromis scotti,40,Curacao,deep,1,m,1.139215137,NA,1.139215137,Chromis scotti
661,Chromis scotti,50,Bonaire,deep,1,m,0.999995899,NA,0.999995899,Chromis scotti
662,Chromis scotti,50,Curacao,deep,1,m,0.999995899,NA,0.999995899,Chromis scotti
1017,Haemulon plumierii,60,Roatan,deep,2,m,1.893617021,60,3.787234042,Haemulon plumierii
1018,Haemulon plumierii,60,Roatan,shallow,2,m,1.893617021,60,3.787234042,Haemulon plumierii
665,Chromis scotti,60,Curacao,deep,4,m,2.016114097,NA,8.064456388,Chromis scotti
1121,Holacanthus tricolor,60,Roatan,deep,2,m,1.893617021,60,3.787234042,Holacanthus tricolor
1122,Holacanthus tricolor,60,Roatan,shallow,2,m,1.893617021,60,3.787234042,Holacanthus tricolor
668,Chromis scotti,60,St. Eustatius,deep,1,m,6.826086957,NA,6.826086957,Chromis scotti
669,Chromis scotti,70,Curacao,deep,38,m,2.085070543,NA,79.23268063,Chromis scotti
1183,Hypoplectrus nigricans,60,Roatan,deep,2,m,1.893617021,60,3.787234042,Hypoplectrus nigricans
1184,Hypoplectrus nigricans,60,Roatan,shallow,2,m,1.893617021,60,3.787234042,Hypoplectrus nigricans
672,Chromis scotti,70,St. Eustatius,deep,2,m,5.971062422,NA,11.94212484,Chromis scotti
673,Chromis scotti,80,Curacao,deep,24,m,1.181725224,NA,28.36140538,Chromis scotti
5,Acanthostracion quadricornis,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Acanthostracion quadricornis
6,Acanthostracion quadricornis,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Acanthostracion quadricornis
676,Chromis scotti,80,St. Eustatius,deep,14,m,3.768327681,NA,52.75658753,Chromis scotti
677,Chromis scotti,90,Curacao,deep,6,m,1.187769118,NA,7.126614708,Chromis scotti
20,Acanthurus coeruleus,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Acanthurus coeruleus
21,Acanthurus coeruleus,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Acanthurus coeruleus
680,Chromis scotti,100,Curacao,deep,10,m,1.379236425,NA,13.79236425,Chromis scotti
230,Canthigaster jamestyleri,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Canthigaster jamestyleri
231,Canthigaster jamestyleri,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Canthigaster jamestyleri
683,Chromis scotti,100,St. Eustatius,deep,11,m,1.546301253,NA,17.00931378,Chromis scotti
684,Chromis scotti,110,Curacao,deep,1,m,1.161185714,NA,1.161185714,Chromis scotti
304,Carangoides ruber,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Caranx ruber
305,Carangoides ruber,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Caranx ruber
687,Chromis scotti,110,St. Eustatius,deep,12,m,1.300675371,NA,15.60810445,Chromis scotti
471,Chaetodon striatus,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Chaetodon striatus
472,Chaetodon striatus,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Chaetodon striatus
690,Chromis scotti,120,St. Eustatius,deep,5,m,3.838426787,NA,19.19213394,Chromis scotti
820,Epinephalus striatus,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Epinephelus striatus
821,Epinephalus striatus,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Epinephelus striatus
693,Chromis scotti,130,St. Eustatius,deep,6,m,3.42437174,NA,20.54623044,Chromis scotti
694,Chromis scotti,150,St. Eustatius,deep,1,m,3.366899767,NA,3.366899767,Chromis scotti
1103,Holacanthus ciliaris,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Holacanthus ciliaris
1104,Holacanthus ciliaris,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Holacanthus ciliaris
1221,Lactophrys trigonus,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Lactophrys trigonus
698,Clepticus parrae,40,Curacao,deep,77,m,1.139215137,NA,87.71956555,Clepticus parrae
1222,Lactophrys trigonus,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Lactophrys trigonus
1443,Malacanthus plumieri,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Malacanthus plumieri
701,Clepticus parrae,40,St. Eustatius,deep,94,m,10.87650602,NA,1022.391566,Clepticus parrae
702,Clepticus parrae,50,Bonaire,deep,11,m,0.999995899,NA,10.99995489,Clepticus parrae
703,Clepticus parrae,50,Curacao,deep,2,m,0.999995899,NA,1.999991798,Clepticus parrae
1444,Malacanthus plumieri,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Malacanthus plumieri
1475,Mycteroperca tigris,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Mycteroperca tigris
706,Clepticus parrae,60,Bonaire,deep,2,m,2.016114097,NA,4.032228194,Clepticus parrae
707,Clepticus parrae,60,Curacao,deep,125,m,2.016114097,NA,252.0142621,Clepticus parrae
1476,Mycteroperca tigris,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Mycteroperca tigris
1909,Pterois volitans,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Pterois volitans
710,Clepticus parrae,70,Curacao,deep,76,m,2.085070543,NA,158.4653613,Clepticus parrae
1910,Pterois volitans,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Pterois volitans
2096,Serranus tortugarum,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Serranus tortugarum
713,Clepticus parrae,80,Curacao,deep,3,m,1.181725224,NA,3.545175672,Clepticus parrae
2097,Serranus tortugarum,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Serranus tortugarum
2110,Sparisoma atomarium,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Sparisoma atomarium
716,Clepticus parrae,90,Bonaire,deep,1,m,1.187769118,NA,1.187769118,Clepticus parrae
717,Clepticus parrae,90,Curacao,deep,4,m,1.187769118,NA,4.751076472,Clepticus parrae
2111,Sparisoma atomarium,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Sparisoma atomarium
2136,Sparisoma viride,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Sparisoma viride
720,Corniger spinosus,110,Bonaire,deep,3,m,1.161185714,NA,3.483557142,Corniger spinosus
721,Corniger spinosus,120,Bonaire,deep,5,m,1.127104229,NA,5.635521145,Corniger spinosus
2137,Sparisoma viride,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Sparisoma viride
2146,Sphyraena barracuda,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Sphyraena barracuda
724,Corniger spinosus,130,Bonaire,deep,3,m,1.303308391,NA,3.909925173,Corniger spinosus
725,Corniger spinosus,130,Curacao,deep,1,m,1.303308391,NA,1.303308391,Corniger spinosus
726,Corniger spinosus,140,Bonaire,deep,1,m,1.365335946,NA,1.365335946,Corniger spinosus
727,Corniger spinosus,140,Curacao,deep,1,m,1.365335946,NA,1.365335946,Corniger spinosus
728,Corniger spinosus,150,Bonaire,deep,9,m,1.188927353,NA,10.70034618,Corniger spinosus
729,Corniger spinosus,150,Curacao,deep,2,m,1.188927353,NA,2.377854706,Corniger spinosus
730,Corniger spinosus,160,Bonaire,deep,1,m,1.212877394,NA,1.212877394,Corniger spinosus
731,Corniger spinosus,160,Curacao,deep,2,m,1.212877394,NA,2.425754788,Corniger spinosus
2147,Sphyraena barracuda,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Sphyraena barracuda
2172,Stegastes partitus,60,Roatan,deep,1,m,1.893617021,60,1.893617021,Stegastes partitus
734,Corniger spinosus,160,St. Eustatius,deep,1,m,4.342754059,NA,4.342754059,Corniger spinosus
735,Corniger spinosus,170,Curacao,deep,1,m,1.172632844,NA,1.172632844,Corniger spinosus
736,Corniger spinosus,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Corniger spinosus
737,Corniger spinosus,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Corniger spinosus
738,Coryphopterus curasub,70,Curacao,deep,3,m,2.085070543,NA,6.255211629,Coryphopterus glaucofraenum
739,Coryphopterus curasub,80,Bonaire,deep,4,m,1.181725224,NA,4.726900896,Coryphopterus glaucofraenum
740,Coryphopterus curasub,80,Curacao,deep,2,m,1.181725224,NA,2.363450448,Coryphopterus glaucofraenum
2173,Stegastes partitus,60,Roatan,shallow,1,m,1.893617021,60,1.893617021,Stegastes partitus
625,Chromis insolata,70,Roatan,deep,301,m,2.656716418,70,799.6716418,Chromis insolata
626,Chromis insolata,70,Roatan,shallow,301,m,2.656716418,70,799.6716418,Chromis insolata
711,Clepticus parrae,70,Roatan,deep,259,m,2.656716418,70,688.0895523,Clepticus parrae
712,Clepticus parrae,70,Roatan,shallow,259,m,2.656716418,70,688.0895523,Clepticus parrae
973,Gramma melacara,70,Roatan,deep,245,m,2.656716418,70,650.8955224,Gramma melacara
974,Gramma melacara,70,Roatan,shallow,245,m,2.656716418,70,650.8955224,Gramma melacara
270,Canthigaster rostrata,70,Roatan,deep,198,m,2.656716418,70,526.0298508,Canthigaster rostrata
271,Canthigaster rostrata,70,Roatan,shallow,198,m,2.656716418,70,526.0298508,Canthigaster rostrata
750,Coryphopterus personatus,70,Roatan,deep,110,m,2.656716418,70,292.238806,Coryphopterus personatus
751,Coryphopterus personatus,70,Roatan,shallow,110,m,2.656716418,70,292.238806,Coryphopterus personatus
1384,Lipogramma klayi,70,Roatan,deep,41,m,2.656716418,70,108.9253731,Lipogramma klayi
1385,Lipogramma klayi,70,Roatan,shallow,41,m,2.656716418,70,108.9253731,Lipogramma klayi
754,Decodon puellaris,120,St. Eustatius,deep,2,m,3.838426787,NA,7.676853574,Decodon puellaris
755,Decodon puellaris,160,Curacao,deep,3,m,1.212877394,NA,3.638632182,Decodon puellaris
756,Decodon puellaris,170,St. Eustatius,deep,2,m,3.76734481,NA,7.53468962,Decodon puellaris
757,Decodon puellaris,180,Curacao,deep,2,m,1.724533239,NA,3.449066478,Decodon puellaris
758,Decodon puellaris,180,St. Eustatius,deep,2,m,4.174566474,NA,8.349132948,Decodon puellaris
759,Decodon puellaris,200,Curacao,deep,1,m,1.203301258,NA,1.203301258,Decodon puellaris
760,Decodon puellaris,200,St. Eustatius,deep,1,m,3.862032086,NA,3.862032086,Decodon puellaris
761,Decodon puellaris,220,St. Eustatius,deep,3,m,5.980952381,NA,17.94285714,Decodon puellaris
762,Decodon puellaris,230,Curacao,deep,1,m,1.644295347,NA,1.644295347,Decodon puellaris
763,Decodon puellaris,230,St. Eustatius,deep,4,m,2.26572549,NA,9.06290196,Decodon puellaris
764,Decodon shallow,80,Bonaire,deep,2,m,1.181725224,NA,2.363450448,Decodon puellaris
765,Decodon shallow,90,Bonaire,deep,9,m,1.187769118,NA,10.68992206,Decodon puellaris
766,Decodon shallow,90,Curacao,deep,1,m,1.187769118,NA,1.187769118,Decodon puellaris
767,Decodon shallow,90,St. Eustatius,deep,1,m,1,NA,1,Decodon puellaris
768,Decodon shallow,100,Curacao,deep,1,m,1.379236425,NA,1.379236425,Decodon puellaris
769,Decodon shallow,100,St. Eustatius,deep,8,m,1.546301253,NA,12.37041002,Decodon puellaris
770,Decodon shallow,110,Bonaire,deep,2,m,1.161185714,NA,2.322371428,Decodon puellaris
771,Decodon shallow,110,St. Eustatius,deep,6,m,1.300675371,NA,7.804052226,Decodon puellaris
772,Decodon shallow,120,Bonaire,deep,5,m,1.127104229,NA,5.635521145,Decodon puellaris
773,Decodon shallow,120,Curacao,deep,2,m,1.127104229,NA,2.254208458,Decodon puellaris
774,Decodon shallow,120,St. Eustatius,deep,1,m,3.838426787,NA,3.838426787,Decodon puellaris
775,Decodon shallow,130,Bonaire,deep,2,m,1.303308391,NA,2.606616782,Decodon puellaris
776,Decodon shallow,130,Curacao,deep,2,m,1.303308391,NA,2.606616782,Decodon puellaris
777,Decodon shallow,130,St. Eustatius,deep,5,m,3.42437174,NA,17.1218587,Decodon puellaris
778,Decodon shallow,140,Bonaire,deep,8,m,1.365335946,NA,10.92268757,Decodon puellaris
779,Decodon shallow,140,St. Eustatius,deep,2,m,5.143874644,NA,10.28774929,Decodon puellaris
780,Decodon shallow,150,Bonaire,deep,2,m,1.188927353,NA,2.377854706,Decodon puellaris
781,Decodon shallow,150,Curacao,deep,1,m,1.188927353,NA,1.188927353,Decodon puellaris
782,Decodon shallow,150,St. Eustatius,deep,4,m,3.366899767,NA,13.46759907,Decodon puellaris
783,Decodon shallow,160,Bonaire,deep,1,m,1.212877394,NA,1.212877394,Decodon puellaris
784,Decodon shallow,180,Curacao,deep,1,m,1.724533239,NA,1.724533239,Decodon puellaris
785,Derilissus lombardii,100,St. Eustatius,deep,3,m,1.546301253,NA,4.638903759,Derilissus lombardii
786,Derilissus lombardii,110,St. Eustatius,deep,4,m,1.300675371,NA,5.202701484,Derilissus lombardii
787,Derilissus lombardii,120,St. Eustatius,deep,5,m,3.838426787,NA,19.19213394,Derilissus lombardii
788,Derilissus lombardii,150,St. Eustatius,deep,1,m,3.366899767,NA,3.366899767,Derilissus lombardii
789,Derilissus lombardii,170,St. Eustatius,deep,1,m,3.76734481,NA,3.76734481,Derilissus lombardii
1067,Halichoeres garnoti,70,Roatan,deep,32,m,2.656716418,70,85.01492538,Halichoeres garnoti
1068,Halichoeres garnoti,70,Roatan,shallow,32,m,2.656716418,70,85.01492538,Halichoeres garnoti
792,Elacatinus chancei,110,St. Eustatius,deep,1,m,1.300675371,NA,1.300675371,Elacatinus chancei
670,Chromis scotti,70,Roatan,deep,28,m,2.656716418,70,74.3880597,Chromis scotti
671,Chromis scotti,70,Roatan,shallow,28,m,2.656716418,70,74.3880597,Chromis scotti
1267,Liopropoma mowbrayi,70,Roatan,deep,21,m,2.656716418,70,55.79104478,Liopropoma mowbrayi
1268,Liopropoma mowbrayi,70,Roatan,shallow,21,m,2.656716418,70,55.79104478,Liopropoma mowbrayi
854,Flammeo marianus,70,Roatan,deep,18,m,2.656716418,70,47.82089552,Neoniphon marianus
855,Flammeo marianus,70,Roatan,shallow,18,m,2.656716418,70,47.82089552,Neoniphon marianus
59,Antilligobius nikkiae,70,Roatan,deep,15,m,2.656716418,70,39.85074627,Antilligobius nikkiae
60,Antilligobius nikkiae,70,Roatan,shallow,15,m,2.656716418,70,39.85074627,Antilligobius nikkiae
399,Cephalopholis cruentata,70,Roatan,deep,14,m,2.656716418,70,37.19402985,Cephalopholis cruentata
400,Cephalopholis cruentata,70,Roatan,shallow,14,m,2.656716418,70,37.19402985,Cephalopholis cruentata
439,Chaetodon capistratus,70,Roatan,deep,11,m,2.656716418,70,29.2238806,Chaetodon capistratus
440,Chaetodon capistratus,70,Roatan,shallow,11,m,2.656716418,70,29.2238806,Chaetodon capistratus
920,Gnatholepis thompsoni,70,Roatan,deep,10,m,2.656716418,70,26.56716418,Gnatholepis thompsoni
921,Gnatholepis thompsoni,70,Roatan,shallow,10,m,2.656716418,70,26.56716418,Gnatholepis thompsoni
941,Gramma linki,70,Roatan,deep,9,m,2.656716418,70,23.91044776,Gramma linki
942,Gramma linki,70,Roatan,shallow,9,m,2.656716418,70,23.91044776,Gramma linki
1159,Holocentrus rufus,70,Roatan,deep,8,m,2.656716418,70,21.25373134,Holocentrus rufus
1160,Holocentrus rufus,70,Roatan,shallow,8,m,2.656716418,70,21.25373134,Holocentrus rufus
1795,Prognathodes aculeatus,70,Roatan,deep,7,m,2.656716418,70,18.59701493,Prognathodes aculeatus
1796,Prognathodes aculeatus,70,Roatan,shallow,7,m,2.656716418,70,18.59701493,Prognathodes aculeatus
1970,Scarus taeniopterus,70,Roatan,deep,6,m,2.656716418,70,15.94029851,Scarus taeniopterus
1971,Scarus taeniopterus,70,Roatan,shallow,6,m,2.656716418,70,15.94029851,Scarus taeniopterus
1010,Haemulon flavolineatum,70,Roatan,deep,5,m,2.656716418,70,13.28358209,Haemulon flavolineatum
1011,Haemulon flavolineatum,70,Roatan,shallow,5,m,2.656716418,70,13.28358209,Haemulon flavolineatum
1911,Pterois volitans,70,Roatan,deep,4,m,2.656716418,70,10.62686567,Pterois volitans
1912,Pterois volitans,70,Roatan,shallow,4,m,2.656716418,70,10.62686567,Pterois volitans
566,Chromis cyanea,70,Roatan,deep,3,m,2.656716418,70,7.970149254,Chromis cyanea
567,Chromis cyanea,70,Roatan,shallow,3,m,2.656716418,70,7.970149254,Chromis cyanea
1105,Holacanthus ciliaris,70,Roatan,deep,3,m,2.656716418,70,7.970149254,Holacanthus ciliaris
822,Epinephelus adscensionis,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Epinephelus adscensionis
823,Epinephelus adscensionis,80,St. Eustatius,deep,1,m,3.768327681,NA,3.768327681,Epinephelus adscensionis
824,Epinephelus adscensionis,110,St. Eustatius,deep,2,m,1.300675371,NA,2.601350742,Epinephelus adscensionis
825,Epinephelus adscensionis,150,St. Eustatius,deep,1,m,3.366899767,NA,3.366899767,Epinephelus adscensionis
826,Epinephelus guttatus,50,St. Eustatius,deep,1,m,15.20421053,NA,15.20421053,Epinephelus guttatus
827,Epinephelus guttatus,60,St. Eustatius,deep,1,m,6.826086957,NA,6.826086957,Epinephelus guttatus
828,Epinephelus guttatus,100,St. Eustatius,deep,2,m,1.546301253,NA,3.092602506,Epinephelus guttatus
829,Equetus lanceolatus,90,Bonaire,deep,2,m,1.187769118,NA,2.375538236,Equetus lanceolatus
830,Equetus lanceolatus,110,Bonaire,deep,5,m,1.161185714,NA,5.80592857,Equetus lanceolatus
831,Equetus lanceolatus,120,Bonaire,deep,4,m,1.127104229,NA,4.508416916,Equetus lanceolatus
832,Equetus lanceolatus,130,Bonaire,deep,3,m,1.303308391,NA,3.909925173,Equetus lanceolatus
833,Equetus lanceolatus,140,Bonaire,deep,1,m,1.365335946,NA,1.365335946,Equetus lanceolatus
834,Equetus lanceolatus,150,Bonaire,deep,1,m,1.188927353,NA,1.188927353,Equetus lanceolatus
835,Equetus lanceolatus,150,St. Eustatius,deep,1,m,3.366899767,NA,3.366899767,Equetus lanceolatus
1106,Holacanthus ciliaris,70,Roatan,shallow,3,m,2.656716418,70,7.970149254,Holacanthus ciliaris
455,Chaetodon sedentarius,70,Roatan,deep,2,m,2.656716418,70,5.313432836,Chaetodon sedentarius
456,Chaetodon sedentarius,70,Roatan,shallow,2,m,2.656716418,70,5.313432836,Chaetodon sedentarius
2001,Serranus luciopercanus,70,Roatan,deep,2,m,2.656716418,70,5.313432836,Serranus luciopercanus
2002,Serranus luciopercanus,70,Roatan,shallow,2,m,2.656716418,70,5.313432836,Serranus luciopercanus
2314,Vomerogobius flavus,70,Roatan,deep,2,m,2.656716418,70,5.313432836,Vomerogobius flavus
842,Fistularia sp.,120,St. Eustatius,deep,1,m,3.838426787,NA,3.838426787,Fistularia commersonii
843,Fistularia sp.,170,Bonaire,deep,1,m,1.172632844,NA,1.172632844,Fistularia commersonii
2315,Vomerogobius flavus,70,Roatan,shallow,2,m,2.656716418,70,5.313432836,Vomerogobius flavus
177,Bodianus pulchellus,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Bodianus pulchellus
846,Flammeo marianus,50,Curacao,deep,5,m,0.999995899,NA,4.999979495,Neoniphon marianus
178,Bodianus pulchellus,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Bodianus pulchellus
233,Canthigaster jamestyleri,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Canthigaster jamestyleri
849,Flammeo marianus,60,Bonaire,deep,1,m,2.016114097,NA,2.016114097,Neoniphon marianus
850,Flammeo marianus,60,Curacao,deep,10,m,2.016114097,NA,20.16114097,Neoniphon marianus
234,Canthigaster jamestyleri,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Canthigaster jamestyleri
307,Carangoides ruber,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Caranx ruber
853,Flammeo marianus,70,Curacao,deep,2,m,2.085070543,NA,4.170141086,Neoniphon marianus
308,Carangoides ruber,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Caranx ruber
375,Centropyge argi,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Centropyge argi
856,Flammeo marianus,80,Bonaire,deep,1,m,1.181725224,NA,1.181725224,Neoniphon marianus
857,Flammeo marianus,80,Curacao,deep,17,m,1.181725224,NA,20.08932881,Neoniphon marianus
376,Centropyge argi,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Centropyge argi
1024,Haemulon striatum,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Haemulon striatum
860,Flammeo marianus,80,St. Eustatius,deep,1,m,3.768327681,NA,3.768327681,Neoniphon marianus
861,Flammeo marianus,90,Bonaire,deep,1,m,1.187769118,NA,1.187769118,Neoniphon marianus
862,Flammeo marianus,90,Curacao,deep,2,m,1.187769118,NA,2.375538236,Neoniphon marianus
1025,Haemulon striatum,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Haemulon striatum
1123,Holacanthus tricolor,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Holacanthus tricolor
865,Flammeo marianus,100,Curacao,deep,1,m,1.379236425,NA,1.379236425,Neoniphon marianus
1124,Holacanthus tricolor,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Holacanthus tricolor
1696,Pomacanthus paru,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Pomacanthus paru
868,Flammeo marianus,100,St. Eustatius,deep,19,m,1.546301253,NA,29.37972381,Neoniphon marianus
869,Flammeo marianus,110,Bonaire,deep,1,m,1.161185714,NA,1.161185714,Neoniphon marianus
1697,Pomacanthus paru,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Pomacanthus paru
2122,Sparisoma aurofrenatum,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Sparisoma aurofrenatum
872,Flammeo marianus,110,St. Eustatius,deep,5,m,1.300675371,NA,6.503376855,Neoniphon marianus
2123,Sparisoma aurofrenatum,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Sparisoma aurofrenatum
2278,Thalassoma bifasciatum,70,Roatan,deep,1,m,2.656716418,70,2.656716418,Thalassoma bifasciatum
875,Flammeo marianus,120,St. Eustatius,deep,2,m,3.838426787,NA,7.676853574,Neoniphon marianus
2279,Thalassoma bifasciatum,70,Roatan,shallow,1,m,2.656716418,70,2.656716418,Thalassoma bifasciatum
630,Chromis insolata,80,Roatan,deep,121,m,2.472222222,80,299.1388889,Chromis insolata
878,Flammeo marianus,130,St. Eustatius,deep,1,m,3.42437174,NA,3.42437174,Neoniphon marianus
631,Chromis insolata,80,Roatan,shallow,121,m,2.472222222,80,299.1388889,Chromis insolata
274,Canthigaster rostrata,80,Roatan,deep,107,m,2.472222222,80,264.5277778,Canthigaster rostrata
